,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.05600000000000001,0.11692307692307691,,0.01455938697318004,0.0217054263565891,0.04757259430826306,0.01875,0.03920210224558048,0.0317073170731707,0.04523809523809522,0.0185398755246779,0.00714285714285712,0.0417647058823529,0.030952380952380936,0.023529411764705837,0.022872340425531882
African American,0.082,0.08084348084348082,,0.014761059866359522,0.025020122787987938,0.039131562439683375,0.0125,0.04565217391304346,0.02322310339667808,0.02148594377510038,0.02296584165581122,0.014317889317889302,0.03502801120448176,0.04523809523809522,0.03823529411764702,0.0244797716519817
Alaskan,0.030000000000000006,0.04692307692307688,,0.012643678160919481,0.02499999999999996,0.03240740740740736,0.03125,0.04565217391304346,0.02073170731707314,0.06904761904761902,0.021088435374149596,0.01428571428571424,0.0633333333333333,0.02619047619047618,0.01176470588235288,0.03138297872340424
Arab,0.05455670103092782,0.04422774076317382,,0.02441886442590166,0.026561262059001677,0.03603202969922102,0.025049603174603162,0.0414715719063545,0.022042682926829243,0.06022927689594354,0.02575292560814228,0.0465572715572715,0.04333333333333329,0.0454703832752613,0.02660228270412638,0.0278092879970057
Asian,0.046,0.05307692307692304,,0.02049992102063376,0.028694952593628482,0.03161211755233488,0.05,0.0652173913043478,0.031707317073170684,0.05714285714285712,0.02636054421768702,0.024999999999999977,0.0367647058823529,0.02857142857142856,0.02647058823529408,0.022359548970167398
Black,0.05,0.07621027621027616,,0.01609691319249288,0.029069767441860416,0.0423702256106714,0.021875,0.04999999999999998,0.03292682926829262,0.031009753298909898,0.02193877551020404,0.014285714285714258,0.0533333333333333,0.0476190476190476,0.026690079016681238,0.02420212765957442
Caucasian,0.046,0.04461538461538456,,0.02126895963970708,0.03586079594583412,0.03947429443050458,0.09375,0.08260869565217388,0.0414634146341463,0.06445783132530118,0.02772644376899692,0.028571428571428536,0.058333333333333307,0.028571428571428564,0.02352941176470582,0.04735919483242196
European,0.052000000000000005,0.04769230769230766,,0.017820867450582742,0.023255813953488316,0.029170754787792973,0.0625,0.09565217391304344,0.03297920095765372,0.05476190476190475,0.02517006802721084,0.030469755469755423,0.0483893557422969,0.03333333333333332,0.0441176470588235,0.028998569283508434
Hispanic,0.0321010101010101,0.05769230769230764,,0.017053849233900083,0.02365996839015576,0.035322860050705465,0.025,0.03050645007166744,0.053658536585365825,0.04047619047619046,0.031818208134317516,0.01071428571428568,0.0417226890756302,0.030952380952380943,0.0384547848990342,0.025805663370824662
Jewish,0.042,0.052307692307692256,,0.0205201673898881,0.02908670128697218,0.03128347206091104,0.034375,0.04589371980676325,0.03175968876253174,0.054761904761904734,0.02636054421768702,0.01607142857142854,0.046694677871148435,0.038095238095238085,0.041352063213344996,0.03300496453900706
Latino,0.028000000000000004,0.05769230769230764,,0.0162901371302204,0.02384641989789392,0.035554146537842155,0.034375,0.03695652173913042,0.0365853658536585,0.0238095238095238,0.0319727891156462,0.017857142857142818,0.03499999999999998,0.0357142857142857,0.04705882352941172,0.03273082698246306
Middle Eastern,0.042,0.053127413127413106,,0.02471613346410844,0.02194148047016594,0.03346348838394892,0.046875,0.030530339225991375,0.014641628011372082,0.05017211703958689,0.022799835436730004,0.07499999999999996,0.03999999999999996,0.038095238095238085,0.0207199297629499,0.02314856786695748
Native American,0.019999999999999997,0.045384615384615364,,0.01743295019157086,0.021711253468071116,0.03379629629629624,0.025,0.028260869565217384,0.025609756097560922,0.0238095238095238,0.024149659863945523,0.0161357786357786,0.08666666666666664,0.04047619047619046,0.03235294117647054,0.023670212765957422
Roma,0.026000000000000002,0.045423225423225355,,0.01782141846941656,0.027726349062993882,0.0319595410628019,0.03759920634920634,0.04782608695652172,0.030487804878048717,0.0476190476190476,0.028918512085685306,0.0089285714285714,0.05180790960451974,0.0595238095238095,0.03235294117647054,0.02315743642047006
South American,0.027999999999999997,0.05307692307692304,,0.01877394636015322,0.02287498402243622,0.03159722222222216,0.03447420634920634,0.03478260869565216,0.04024390243902434,0.04047619047619046,0.03402055290201182,0.0178571428571428,0.04833333333333328,0.05476190476190475,0.06470588235294114,0.021815593393206177
White,0.041999999999999996,0.047692307692307645,,0.01226494454913796,0.02538759689922474,0.03275697527289878,0.065625,0.07391304347826085,0.02682926829268286,0.06904761904761902,0.02585034013605436,0.028571428571428536,0.04512605042016804,0.04523809523809522,0.03823529411764702,0.035904255319148905
