,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.53,0.5769230769230769,,0.6925287356321839,0.6947674418604651,0.7939814814814815,0.40625,0.4782608695652174,0.25,0.38095238095238093,0.6947278911564626,0.30357142857142855,0.2916666666666667,0.2619047619047619,0.3235294117647059,0.6954787234042553
African American,0.46,0.7807692307692308,,0.64272030651341,0.6957364341085271,0.8767361111111112,0.296875,0.5543478260869565,0.27439024390243905,0.34523809523809523,0.6726190476190477,0.32142857142857145,0.30833333333333335,0.30952380952380953,0.45588235294117646,0.6981382978723404
Alaskan,,,,,,,,,,,,,,,,
Arab,0.25,0.4076923076923077,,0.7969348659003831,0.7034883720930233,0.7349537037037037,0.46875,0.40217391304347827,0.3048780487804878,0.38095238095238093,0.7261904761904762,0.4375,0.36666666666666664,0.2261904761904762,0.25,0.6954787234042553
Asian,0.28,0.3076923076923077,,0.7710727969348659,0.9205426356589147,0.7939814814814815,0.203125,0.5,0.22560975609756098,0.23809523809523808,0.7874149659863946,0.32142857142857145,0.36666666666666664,0.2261904761904762,0.3088235294117647,0.7513297872340425
Black,0.36,0.65,,0.8438697318007663,0.8633720930232558,0.9189814814814815,0.4375,0.5652173913043478,0.3780487804878049,0.38095238095238093,0.8571428571428571,0.35714285714285715,0.43333333333333335,0.36904761904761907,0.5882352941176471,0.8271276595744681
Caucasian,0.22,0.28846153846153844,,0.6111111111111112,0.7199612403100775,0.6614583333333334,0.484375,0.5108695652173914,0.16463414634146342,0.15476190476190477,0.6522108843537415,0.08035714285714286,0.19166666666666668,0.15476190476190477,0.27941176470588236,0.8018617021276596
European,0.23,0.28076923076923077,,0.6312260536398467,0.7228682170542635,0.6776620370370371,0.25,0.6956521739130435,0.21951219512195122,0.2976190476190476,0.66921768707483,0.17857142857142858,0.26666666666666666,0.19047619047619047,0.27941176470588236,0.738031914893617
Hispanic,0.18,0.5230769230769231,,0.7423371647509579,0.7625968992248062,0.8356481481481481,0.5,0.6195652173913043,0.6402439024390244,0.30952380952380953,0.9081632653061225,0.32142857142857145,0.3416666666666667,0.40476190476190477,0.5441176470588235,0.7539893617021277
Jewish,0.1,0.18076923076923077,,0.4827586206896552,0.5368217054263565,0.5109953703703703,0.140625,0.33695652173913043,0.15853658536585366,0.3333333333333333,0.46598639455782315,0.08928571428571429,0.11666666666666667,0.07142857142857142,0.08823529411764706,0.5465425531914894
Latino,0.29,0.5230769230769231,,0.7835249042145593,0.7722868217054264,0.8304398148148148,0.46875,0.6195652173913043,0.5975609756097561,0.32142857142857145,0.8869047619047619,0.35714285714285715,0.4083333333333333,0.3333333333333333,0.5882352941176471,0.788563829787234
Middle Eastern,0.22,0.29615384615384616,,0.8074712643678161,0.6724806201550387,0.6400462962962963,0.265625,0.3695652173913043,0.2682926829268293,0.21428571428571427,0.6751700680272109,0.5714285714285714,0.23333333333333334,0.2619047619047619,0.3088235294117647,0.6289893617021277
Native American,0.09,0.2,,0.48659003831417624,0.5,0.5399305555555556,0.109375,0.22826086956521738,0.0975609756097561,0.05952380952380952,0.45068027210884354,0.08035714285714286,0.275,0.11904761904761904,0.058823529411764705,0.4973404255319149
Roma,0.21,0.3576923076923077,,0.6580459770114943,0.6676356589147286,0.7071759259259259,0.203125,0.391304347826087,0.20121951219512196,0.2857142857142857,0.673469387755102,0.23214285714285715,0.3333333333333333,0.4880952380952381,0.3235294117647059,0.625
South American,0.3,0.4115384615384615,,0.7854406130268199,0.7422480620155039,0.8015046296296297,0.40625,0.5869565217391305,0.5182926829268293,0.30952380952380953,0.8622448979591837,0.29464285714285715,0.4083333333333333,0.27380952380952384,0.6470588235294118,0.7566489361702128
White,0.15,0.2846153846153846,,0.6973180076628352,0.7432170542635659,0.7112268518518519,0.203125,0.44565217391304346,0.1951219512195122,0.15476190476190477,0.6989795918367347,0.20535714285714285,0.21666666666666667,0.08333333333333333,0.17647058823529413,0.7247340425531915
