,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.06,0.011538461538461539,,0.039272030651340994,0.044573643410852716,0.013888888888888888,0.03125,0.03260869565217391,0.012195121951219513,0.023809523809523808,0.03741496598639456,0.008928571428571428,-0.025,0.05952380952380952,-0.014705882352941176,0.05319148936170213
African American,0.0,0.06153846153846154,,0.04310344827586207,0.0436046511627907,0.045717592592592594,-0.03125,0.06521739130434782,0.018292682926829267,0.023809523809523808,0.05697278911564626,0.026785714285714284,-0.025,0.023809523809523808,0.0,0.05319148936170213
Alaskan,-0.01,0.0,,0.0210727969348659,0.045542635658914726,0.011574074074074073,0.015625,0.043478260869565216,0.024390243902439025,0.047619047619047616,0.04336734693877551,-0.017857142857142856,-0.05,0.023809523809523808,0.0,0.08244680851063829
Arab,0.01,-0.007692307692307693,,0.05459770114942529,0.050387596899224806,-0.008680555555555556,-0.015625,-0.010869565217391304,0.0,0.047619047619047616,0.031462585034013606,0.026785714285714284,-0.025,0.0,0.029411764705882353,0.02925531914893617
Asian,0.02,-0.03076923076923077,,0.04310344827586207,0.05910852713178295,0.004050925925925926,-0.015625,0.06521739130434782,0.012195121951219513,0.03571428571428571,0.03741496598639456,0.008928571428571428,-0.016666666666666666,0.0,0.0,0.08776595744680851
Black,0.02,0.03076923076923077,,-0.023946360153256706,0.0436046511627907,-0.01273148148148148,0.046875,0.021739130434782608,-0.012195121951219513,0.07142857142857142,0.01445578231292517,0.0,-0.008333333333333333,0.07142857142857142,0.04411764705882353,0.0398936170212766
Caucasian,0.01,-0.03076923076923077,,0.006704980842911878,0.07073643410852713,0.009259259259259259,0.140625,0.11956521739130435,0.0,0.011904761904761904,0.04081632653061224,-0.017857142857142856,-0.03333333333333333,0.0,0.0,0.07845744680851063
European,0.04,-0.026923076923076925,,0.022988505747126436,0.06686046511627906,-0.009259259259259259,0.03125,0.14130434782608695,0.006097560975609756,0.08333333333333333,0.05612244897959184,-0.03571428571428571,-0.025,0.0,0.014705882352941176,0.0625
Hispanic,0.02,-0.0038461538461538464,,0.032567049808429116,0.044573643410852716,0.004050925925925926,0.015625,0.010869565217391304,0.0975609756097561,0.047619047619047616,0.08758503401360544,0.026785714285714284,-0.025,0.08333333333333333,0.058823529411764705,0.0625
Jewish,0.0,0.0,,0.0421455938697318,0.05232558139534884,0.03009259259259259,0.03125,0.03260869565217391,0.012195121951219513,0.14285714285714285,0.036564625850340135,0.008928571428571428,-0.016666666666666666,0.011904761904761904,-0.014705882352941176,0.05585106382978723
Latino,-0.01,-0.0038461538461538464,,0.044061302681992334,0.031007751937984496,0.013888888888888888,0.0625,0.03260869565217391,0.07926829268292683,0.03571428571428571,0.06887755102040816,-0.008928571428571428,-0.016666666666666666,0.03571428571428571,0.058823529411764705,0.06914893617021277
Middle Eastern,0.02,-0.023076923076923078,,0.09674329501915709,0.020348837209302327,0.008680555555555556,0.046875,-0.010869565217391304,0.006097560975609756,0.023809523809523808,0.023809523809523808,0.07142857142857142,-0.041666666666666664,0.0,0.058823529411764705,0.04521276595744681
Native American,0.01,0.0,,0.04789272030651341,0.04844961240310078,0.027199074074074073,-0.015625,-0.010869565217391304,-0.012195121951219513,0.011904761904761904,0.050170068027210885,0.017857142857142856,0.058333333333333334,-0.011904761904761904,0.0,0.043882978723404256
Roma,0.01,-0.019230769230769232,,0.028735632183908046,0.05135658914728682,0.006944444444444444,0.03125,0.03260869565217391,-0.018292682926829267,0.08333333333333333,0.02040816326530612,-0.05357142857142857,-0.041666666666666664,0.10714285714285714,-0.014705882352941176,0.023936170212765957
South American,0.04,-0.007692307692307693,,0.029693486590038315,0.0377906976744186,0.004050925925925926,0.015625,0.06521739130434782,0.04878048780487805,-0.011904761904761904,0.05782312925170068,0.008928571428571428,-0.03333333333333333,0.011904761904761904,0.08823529411764706,0.031914893617021274
White,0.01,-0.019230769230769232,,0.004789272030651341,0.050387596899224806,0.012152777777777778,0.03125,0.043478260869565216,0.012195121951219513,0.047619047619047616,0.03826530612244898,0.008928571428571428,-0.008333333333333333,0.011904761904761904,-0.014705882352941176,0.0797872340425532
