,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.17,0.21153846153846154,,0.06417624521072797,0.0939922480620155,0.1232638888888889,0.078125,0.20652173913043478,0.12195121951219512,0.11904761904761904,0.08503401360544217,0.08928571428571429,0.175,0.14285714285714285,0.19117647058823528,0.125
African American,0.2,0.25384615384615383,,0.09099616858237548,0.11337209302325581,0.16898148148148148,0.21875,0.16304347826086957,0.18902439024390244,0.2261904761904762,0.08843537414965986,0.09821428571428571,0.175,0.2976190476190476,0.23529411764705882,0.1356382978723404
Alaskan,0.14,0.1076923076923077,,0.04597701149425287,0.08527131782945736,0.08912037037037036,0.03125,0.14130434782608695,0.036585365853658534,0.15476190476190477,0.058673469387755105,0.11607142857142858,0.11666666666666667,0.07142857142857142,0.1323529411764706,0.09574468085106383
Arab,0.17,0.13076923076923078,,0.09770114942528736,0.10755813953488372,0.11979166666666667,0.234375,0.17391304347826086,0.08536585365853659,0.11904761904761904,0.10714285714285714,0.19642857142857142,0.2,0.13095238095238096,0.17647058823529413,0.12234042553191489
Asian,0.14,0.09615384615384616,,0.07758620689655173,0.08527131782945736,0.09375,0.1875,0.2391304347826087,0.17682926829268292,0.15476190476190477,0.09098639455782313,0.09821428571428571,0.1,0.09523809523809523,0.10294117647058823,0.07579787234042554
Black,0.21,0.18076923076923077,,0.08141762452107279,0.0998062015503876,0.11631944444444445,0.1875,0.09782608695652174,0.1402439024390244,0.19047619047619047,0.07397959183673469,0.15178571428571427,0.21666666666666667,0.21428571428571427,0.23529411764705882,0.08377659574468085
Caucasian,0.21,0.21923076923076923,,0.10440613026819924,0.12015503875968993,0.12962962962962962,0.265625,0.2391304347826087,0.16463414634146342,0.20238095238095238,0.10204081632653061,0.14285714285714285,0.23333333333333334,0.17857142857142858,0.16176470588235295,0.13829787234042554
European,0.12,0.1346153846153846,,0.045019157088122604,0.06492248062015504,0.10532407407407407,0.109375,0.1956521739130435,0.12804878048780488,0.2261904761904762,0.08078231292517007,0.07142857142857142,0.11666666666666667,0.14285714285714285,0.1323529411764706,0.08776595744680851
Hispanic,0.13,0.18846153846153846,,0.06992337164750957,0.09302325581395349,0.12905092592592593,0.296875,0.10869565217391304,0.1524390243902439,0.2619047619047619,0.09863945578231292,0.08928571428571429,0.10833333333333334,0.10714285714285714,0.19117647058823528,0.1023936170212766
Jewish,0.12,0.16538461538461538,,0.07567049808429119,0.09593023255813954,0.10590277777777778,0.078125,0.17391304347826086,0.12804878048780488,0.16666666666666666,0.09608843537414966,0.044642857142857144,0.14166666666666666,0.20238095238095238,0.10294117647058823,0.11835106382978723
Latino,0.1,0.17692307692307693,,0.05651340996168582,0.08430232558139535,0.10648148148148148,0.1875,0.15217391304347827,0.14634146341463414,0.10714285714285714,0.10034013605442177,0.08035714285714286,0.125,0.14285714285714285,0.16176470588235295,0.1023936170212766
Middle Eastern,0.08,0.16153846153846155,,0.11398467432950192,0.09205426356589147,0.125,0.15625,0.11956521739130435,0.13414634146341464,0.13095238095238096,0.09608843537414966,0.21428571428571427,0.18333333333333332,0.16666666666666666,0.20588235294117646,0.11436170212765957
Native American,0.07,0.11538461538461539,,0.07662835249042145,0.09011627906976744,0.11574074074074074,0.140625,0.11956521739130435,0.13414634146341464,0.08333333333333333,0.09013605442176871,0.0625,0.23333333333333334,0.2619047619047619,0.17647058823529413,0.11436170212765957
Roma,0.17,0.2,,0.0842911877394636,0.09883720930232558,0.12037037037037036,0.265625,0.16304347826086957,0.13414634146341464,0.14285714285714285,0.10374149659863946,0.08928571428571429,0.26666666666666666,0.3333333333333333,0.08823529411764706,0.11702127659574468
South American,0.13,0.11538461538461539,,0.06417624521072797,0.09011627906976744,0.0954861111111111,0.109375,0.11956521739130435,0.17073170731707318,0.16666666666666666,0.0977891156462585,0.0625,0.15833333333333333,0.20238095238095238,0.19117647058823528,0.08111702127659574
White,0.13,0.2076923076923077,,0.06417624521072797,0.10271317829457365,0.11747685185185185,0.21875,0.2391304347826087,0.12195121951219512,0.2619047619047619,0.10799319727891156,0.1875,0.2,0.17857142857142858,0.1323529411764706,0.1356382978723404
