,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.06,0.011538461538461539,,-0.013409961685823755,0.005813953488372093,0.006944444444444444,0.0,-0.021739130434782608,0.018292682926829267,-0.023809523809523808,-0.0017006802721088435,-0.044642857142857144,-0.025,-0.03571428571428571,-0.08823529411764706,0.009308510638297872
African American,0.03,0.02702702702702703,,-0.0019175455417066154,0.0038797284190106693,-0.007527504342790967,0.0,-0.021739130434782608,0.024390243902439025,-0.023809523809523808,-0.006802721088435374,-0.009009009009009009,0.0,0.0,-0.014705882352941176,0.014647137150466045
Alaskan,-0.03,0.011538461538461539,,-0.0009578544061302681,0.012596899224806201,-0.009259259259259259,-0.015625,0.06521739130434782,0.012195121951219513,-0.011904761904761904,0.0017006802721088435,-0.044642857142857144,0.041666666666666664,-0.05952380952380952,-0.04411764705882353,0.005319148936170213
Arab,0.041237113402061855,-0.031496062992125984,,-0.0009718172983479105,0.008016032064128256,-0.017028772753963594,-0.015873015873015872,0.08791208791208792,-0.0375,0.012345679012345678,0.008598452278589854,0.02702702702702703,0.008333333333333333,0.024390243902439025,-0.014925373134328358,0.012178619756427604
Asian,-0.04,-0.015384615384615385,,0.006704980842911878,-0.002909796314258002,-0.013333333333333334,-0.015625,0.021739130434782608,0.04878048780487805,0.011904761904761904,0.002551020408163265,-0.017857142857142856,-0.03361344537815126,0.011904761904761904,0.0,0.02529960053262317
Black,-0.04,0.019230769230769232,,-0.01053639846743295,0.0048449612403100775,-0.009259259259259259,0.015625,0.010869565217391304,0.006097560975609756,0.011904761904761904,0.004251700680272109,0.0,-0.008333333333333333,0.0,-0.11764705882352941,0.027925531914893616
Caucasian,0.0,-0.023076923076923078,,0.0028763183125599234,0.002909796314258002,-0.01678240740740741,0.046875,0.03260869565217391,0.04878048780487805,0.03614457831325301,-0.005106382978723404,0.0,-0.025,0.0,0.0,0.027925531914893616
European,0.04,-0.0038461538461538464,,-0.0009587727708533077,-0.005813953488372093,-0.01679212507237985,0.015625,0.03260869565217391,0.006097560975609756,0.03571428571428571,0.007653061224489796,-0.036036036036036036,0.025,-0.03571428571428571,-0.029411764705882353,0.02929427430093209
Hispanic,0.02,-0.05384615384615385,,0.006704980842911878,-0.008737864077669903,-0.017391304347826087,0.0,0.0,0.03048780487804878,-0.047619047619047616,0.023829787234042554,-0.008928571428571428,0.058333333333333334,0.023809523809523808,0.07462686567164178,0.0026595744680851063
Jewish,-0.03,-0.007692307692307693,,0.002881844380403458,-0.006796116504854369,-0.008130081300813009,0.0625,0.044444444444444446,0.006134969325153374,0.047619047619047616,0.0008503401360544217,0.0,0.025,-0.023809523809523808,-0.014705882352941176,0.012
Latino,0.04,-0.04230769230769231,,-0.0009587727708533077,0.009699321047526674,-0.01217391304347826,0.046875,0.043478260869565216,0.0,0.0,0.006802721088435374,-0.05357142857142857,-0.008333333333333333,0.023809523809523808,-0.029411764705882353,0.014647137150466045
Middle Eastern,-0.03,-0.003861003861003861,,-0.0019157088122605363,0.011684518013631937,-0.01100811123986095,0.046875,0.04395604395604396,0.006134969325153374,0.0,0.017035775127768313,-0.03571428571428571,-0.016666666666666666,-0.023809523809523808,0.014705882352941176,-0.010652463382157125
Native American,0.01,0.007692307692307693,,-0.006704980842911878,0.0,-0.008101851851851851,0.0,-0.03260869565217391,0.024390243902439025,-0.011904761904761904,0.011054421768707483,-0.02702702702702703,0.03333333333333333,-0.047619047619047616,0.014705882352941176,0.009308510638297872
Roma,0.02,-0.015444015444015444,,-0.009587727708533078,0.000970873786407767,-0.017391304347826087,0.015873015873015872,0.010869565217391304,0.012195121951219513,0.011904761904761904,0.015319148936170212,-0.008928571428571428,-0.008333333333333333,-0.011904761904761904,0.0,0.02796271637816245
South American,-0.03,-0.011538461538461539,,-0.0009578544061302681,0.014548981571290009,-0.012152777777777778,-0.015873015873015872,0.03260869565217391,0.018292682926829267,0.047619047619047616,0.01276595744680851,-0.017857142857142856,0.008333333333333333,-0.03571428571428571,-0.04411764705882353,-0.005326231691078562
White,0.02,-0.019230769230769232,,-0.011494252873563218,0.007751937984496124,-0.02199074074074074,0.0,0.03260869565217391,0.024390243902439025,0.03571428571428571,0.013605442176870748,-0.03571428571428571,0.016666666666666666,-0.03571428571428571,0.04411764705882353,0.027925531914893616
