,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.14305555555555555,0.11428571428571424,-0.015151515151515157,0.0,-0.17878787878787877,0.009999999999999962,-0.10454545454545447,0.0365853658536585,,0.09444444444444443,0.12499999999999997
Buddhist,0.027777777777777755,0.5321428571428571,0.05909090909090901,0.006410256410256399,-0.14393939393939387,0.009999999999999981,-0.06818181818181818,0.026829268292682916,,0.0972222222222222,0.15277777777777773
Catholic,-0.14305555555555552,0.08214285714285711,0.5575757575757575,0.22051282051282048,-0.3,0.11428571428571425,-0.0318181818181818,0.04390243902439024,,0.07499999999999998,0.06666666666666664
Christian,-0.10694444444444444,0.1357142857142857,0.2606060606060606,0.35641025641025637,-0.296969696969697,0.14571428571428566,-0.039393939393939405,-0.01585365853658538,,0.11111111111111109,0.1388888888888889
Hindu,-0.12638888888888886,0.18571428571428567,0.1136363636363636,0.02820512820512817,0.14999999999999997,0.08285714285714282,-0.05757575757575754,0.02317073170731706,,0.09444444444444444,0.2638888888888889
Jewish,-0.047222222222222214,0.19642857142857137,0.19545454545454544,0.06410256410256407,-0.2333333333333333,0.29142857142857137,-0.10151515151515149,0.015853658536585342,,0.1638888888888889,0.13888888888888887
Mormon,-0.13749999999999996,0.09285714285714283,0.2545454545454545,0.11025641025641024,-0.29848484848484846,0.14428571428571424,0.4,0.021951219512195138,,0.06666666666666661,0.03333333333333332
Muslim,-0.075,0.15357142857142853,0.15757575757575754,-0.01025641025641026,-0.24696969696969692,0.08999999999999994,-0.0833333333333333,0.325609756097561,,0.08055555555555552,0.25277777777777777
Orthodox,,,,,,,,,,,
Protestant,-0.08472222222222218,0.075,0.09999999999999998,0.22435897435897437,-0.29393939393939394,0.06428571428571425,0.001515151515151522,-0.04634146341463414,,0.5194444444444445,0.15277777777777776
Sikh,-0.027777777777777762,0.23928571428571424,0.08939393939393936,0.01794871794871794,-0.24242424242424238,0.07142857142857138,-0.09696969696969698,0.11707317073170728,,0.09999999999999998,0.6611111111111111
