,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.2333333333333333,0.13279220779220774,0.10909090909090902,0.11282051282051278,0.1924242424242424,0.17041109969167517,0.18939393939393934,0.0865853658536585,,0.1222222222222222,0.1361111111111111
Buddhist,0.14999999999999997,0.16428571428571426,0.10606060606060604,0.1333333333333333,0.16060606060606059,0.13428571428571426,0.16818181818181813,0.07682926829268291,,0.14999999999999997,0.13333333333333336
Catholic,0.1961344211344211,0.1321428571428571,0.18636363636363631,0.19230769230769224,0.24274809160305338,0.22428571428571428,0.21969696969696967,0.1365853658536585,,0.19999999999999996,0.17777777777777776
Christian,0.17777777777777776,0.1071428571428571,0.11666666666666663,0.19230769230769226,0.256060606060606,0.20142857142857143,0.21363636363636357,0.1463414634146341,,0.18888888888888883,0.16388888888888886
Hindu,0.1736111111111111,0.16785714285714282,0.1153365718251214,0.14170829170829166,0.3049849641452695,0.19305241521068855,0.19393939393939394,0.12495136914559327,,0.16388888888888886,0.14444444444444443
Jewish,0.15713869463869462,0.19019480519480517,0.12899606754568582,0.11290322580645155,0.2212121212121212,0.2246248715313463,0.23233865371269952,0.11245698039802479,,0.15277777777777773,0.13384194053208137
Mormon,0.20416666666666666,0.18928571428571422,0.14848484848484844,0.15128205128205122,0.2590909090909091,0.2185714285714285,0.2772727272727273,0.1621951219512195,,0.19166666666666662,0.14999999999999997
Muslim,0.1701471650415312,0.15759740259740254,0.11686328938237331,0.13993382961124895,0.2636363636363636,0.1573175745118191,0.20630349294471428,0.1848795451144695,,0.1583333333333333,0.1696400625978091
Orthodox,0.20555555555555555,0.18571428571428567,0.14090909090909087,0.13475599669148053,0.24129077029840387,0.2757142857142857,0.22424242424242422,0.16782881939248837,,0.19213615023474173,0.17499999999999996
Protestant,0.19444444444444442,0.15357142857142853,0.15808857808857807,0.21538461538461534,0.2348484848484848,0.26896197327852,0.22424242424242422,0.1463414634146341,,0.2416666666666666,0.15606416275430357
Sikh,0.17134194053208135,0.13928571428571423,0.11526717557251905,0.12062034739454089,0.24393939393939384,0.19479958890030827,0.2333333333333333,0.12804878048780483,,0.175,0.1833333333333333
