,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.041666666666666616,0.01785714285714282,0.024242424242424218,0.0128205128205128,-0.01212121212121212,0.02287769784172656,-0.007575757575757539,0.01707317073170726,,0.02222222222222216,0.0277777777777777
Buddhist,0.01111111111111108,0.0321428571428571,0.022727272727272717,0.01153846153846152,-0.0030303030303030195,0.02428571428571424,-0.018181818181818157,0.0121951219512195,,0.030555555555555503,0.0416666666666666
Catholic,2.9137529137539946e-05,0.01428571428571426,0.04090909090909088,0.0384615384615384,-0.033414295628036036,0.018571428571428558,-0.0151515151515151,0.01219512195121946,,0.00555555555555554,0.02499999999999994
Christian,0.00972222222222222,0.01428571428571426,0.02272727272727268,0.043589743589743546,-0.013636363636363618,0.01428571428571428,-0.0075757575757575395,0.023170731707317017,,0.02222222222222218,0.033333333333333263
Hindu,0.0013888888888888597,0.02857142857142856,0.0242771223687254,0.021878121878121836,-0.019731667823270838,0.008581706063720421,-0.0136363636363636,0.0110279814454586,,0.00555555555555554,0.0166666666666666
Jewish,0.009722222222222179,0.02519480519480516,0.02431182049502656,0.02052936311000824,-0.016666666666666618,0.037204522096608385,-0.015128383067314361,0.006060152626066121,,0.016666666666666642,0.027895148669796498
Mormon,0.0083333333333333,0.01428571428571426,0.01515151515151512,0.0064102564102564,-0.016666666666666642,0.025714285714285662,0.0015151515151514798,0.012195121951219481,,0.011111111111111103,0.0277777777777777
Muslim,0.019493143788918383,0.0,0.018193384223918523,0.023093465674110802,-0.033333333333333284,0.025734840698869423,-0.015151515151515119,0.04898997456232228,,0.022222222222222178,0.01952269170579028
Orthodox,-0.0041666666666666605,0.0107142857142857,0.02575757575757572,0.02311000827129856,-0.028799444829979138,0.02857142857142858,-0.0196969696969697,0.00977106090079302,,0.025078247261345797,0.04722222222222216
Protestant,0.00555555555555554,-1.9428902930940238e-17,0.03198135198135194,0.042307692307692255,-0.02424242424242418,0.01722507708119214,-0.00454545454545454,0.012195121951219481,,0.05277777777777772,0.00829420970266038
Sikh,-0.004244913928012521,0.0,0.021212121212121158,0.017965260545905682,-0.03787878787878784,0.02294964028776974,-0.018181818181818157,0.00975609756097558,,0.016666666666666618,0.04722222222222216
