,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.11805555555555555,0.017857142857142856,0.08333333333333333,0.10256410256410256,0.1893939393939394,0.1357142857142857,0.14393939393939395,0.036585365853658534,,0.08333333333333333,0.08333333333333333
Buddhist,0.1736111111111111,0.125,0.07575757575757576,0.16666666666666666,0.20454545454545456,0.14285714285714285,0.15151515151515152,0.04878048780487805,,0.2361111111111111,0.1527777777777778
Catholic,0.1527777777777778,0.07142857142857142,0.13636363636363635,0.19230769230769232,0.23484848484848486,0.2571428571428571,0.23484848484848486,0.06707317073170732,,0.2222222222222222,0.1111111111111111
Christian,0.13194444444444445,0.08928571428571429,0.09848484848484848,0.15384615384615385,0.22727272727272727,0.18571428571428572,0.17424242424242425,0.12195121951219512,,0.18055555555555555,0.1388888888888889
Hindu,0.11805555555555555,0.017857142857142856,0.11363636363636363,0.10256410256410256,0.25,0.12857142857142856,0.1590909090909091,0.06707317073170732,,0.08333333333333333,0.125
Jewish,0.09722222222222222,0.14285714285714285,0.08333333333333333,0.11538461538461539,0.1590909090909091,0.15,0.1893939393939394,0.07317073170731707,,0.19444444444444445,0.08333333333333333
Mormon,0.1527777777777778,0.19642857142857142,0.15151515151515152,0.16666666666666666,0.23484848484848486,0.21428571428571427,0.25,0.07317073170731707,,0.19444444444444445,0.19444444444444445
Muslim,0.10416666666666667,0.17857142857142858,0.09090909090909091,0.1346153846153846,0.2196969696969697,0.18571428571428572,0.20454545454545456,0.08536585365853659,,0.16666666666666666,0.1111111111111111
Orthodox,,,,,,,,,,,
Protestant,0.125,0.10714285714285714,0.09090909090909091,0.14102564102564102,0.24242424242424243,0.16428571428571428,0.1893939393939394,0.08536585365853659,,0.16666666666666666,0.09722222222222222
Sikh,0.1527777777777778,0.125,0.14393939393939395,0.16666666666666666,0.22727272727272727,0.16428571428571428,0.2727272727272727,0.10365853658536585,,0.125,0.125
