,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.04861111111111111,-0.17857142857142858,-0.06818181818181818,-0.01282051282051282,-0.06818181818181818,-0.014285714285714285,-0.07575757575757576,0.14634146341463414,,-0.16666666666666666,-0.18055555555555555
Buddhist,-0.027777777777777776,-0.10714285714285714,-0.007575757575757576,-0.08974358974358974,-0.08333333333333333,-0.02857142857142857,-0.06818181818181818,0.1951219512195122,,-0.19444444444444445,-0.1388888888888889
Catholic,0.006944444444444444,-0.16071428571428573,-0.11363636363636363,-0.07692307692307693,-0.08333333333333333,0.0,-0.045454545454545456,0.10975609756097561,,-0.08333333333333333,-0.1111111111111111
Christian,-0.006944444444444444,-0.03571428571428571,0.0,-0.10256410256410256,-0.16666666666666666,-0.06428571428571428,-0.007575757575757576,0.17073170731707318,,-0.19444444444444445,-0.027777777777777776
Hindu,-0.020833333333333332,-0.14285714285714285,-0.05303030303030303,-0.0641025641025641,-0.18181818181818182,0.05714285714285714,-0.007575757575757576,0.18292682926829268,,-0.1388888888888889,-0.1111111111111111
Jewish,-0.04861111111111111,0.0,0.0,-0.038461538461538464,-0.1590909090909091,-0.02857142857142857,-0.022727272727272728,0.17073170731707318,,-0.19444444444444445,-0.08333333333333333
Mormon,0.020833333333333332,-0.10714285714285714,-0.05303030303030303,-0.07692307692307693,-0.11363636363636363,0.06428571428571428,0.030303030303030304,0.0975609756097561,,-0.19444444444444445,-0.09722222222222222
Muslim,-0.05555555555555555,-0.17857142857142858,-0.007575757575757576,-0.0641025641025641,-0.07575757575757576,0.1,-0.03787878787878788,0.18292682926829268,,-0.1388888888888889,-0.16666666666666666
Orthodox,0.013888888888888888,-0.16071428571428573,-0.03787878787878788,-0.04487179487179487,-0.06818181818181818,0.007142857142857143,0.015151515151515152,0.13414634146341464,,-0.1111111111111111,-0.1111111111111111
Protestant,-0.020833333333333332,-0.017857142857142856,-0.015151515151515152,-0.04487179487179487,-0.20454545454545456,-0.007142857142857143,0.03787878787878788,0.16463414634146342,,-0.125,-0.1527777777777778
Sikh,0.006944444444444444,-0.125,-0.03787878787878788,-0.019230769230769232,-0.09090909090909091,0.007142857142857143,0.045454545454545456,0.12804878048780488,,-0.19444444444444445,-0.16666666666666666
