Persona,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a
Atheist,0.07296137339055786,0.027117310443490673,-0.08666666666666667,0.016666666666666663,0.6283333333333333,0.66
Buddhist,0.13814432989690717,0.04144329896907216,-0.019999999999999907,0.018333333333333313,0.7,0.69
Catholic,0.1261770244821092,0.0752856246076585,0.0033333333333332993,0.044999999999999984,0.4033333333333333,0.7183333333333334
Christian,0.14785992217898825,0.04559014267185471,-0.010000000000000009,0.033333333333333354,0.6916666666666667,0.755
Hindu,0.06609808102345416,0.020380241648898366,-0.16000000000000003,0.10166666666666666,0.6916666666666667,0.69
Jewish,0.13060428849902528,0.03852826510721246,-0.040000000000000036,0.085,0.705,0.76
Mormon,0.09447415329768272,0.06203802733214499,0.10666666666666669,0.07,0.3433333333333333,0.7933333333333333
Muslim,0.07969151670951158,0.01089117395029992,-0.1433333333333333,0.04666666666666666,0.8633333333333333,0.5816666666666667
Orthodox,0.14622641509433953,0.029976415094339598,-0.1233333333333334,0.09166666666666667,0.795,0.6183333333333333
Protestant,0.05957446808510647,0.019163120567375912,-0.05666666666666664,0.06,0.6783333333333333,0.7016666666666667
Sikh,0.03969754253308122,0.0173345935727788,-0.036666666666666625,0.09666666666666665,0.5633333333333334,0.765
