,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,-0.10416666666666667,0.3392857142857143,0.1590909090909091,0.019230769230769232,-0.007575757575757576,0.11428571428571428,-0.08333333333333333,0.036585365853658534,,0.1527777777777778,0.3194444444444444
Buddhist,-0.0763888888888889,0.07142857142857142,0.5909090909090909,0.2564102564102564,-0.36363636363636365,0.07857142857142857,-0.09848484848484848,0.054878048780487805,,0.08333333333333333,0.013888888888888888
Catholic,0.041666666666666664,0.25,0.13636363636363635,0.03205128205128205,-0.4015151515151515,0.07857142857142857,0.015151515151515152,0.07317073170731707,,0.19444444444444445,0.5694444444444444
Christian,-0.09027777777777778,0.25,0.32575757575757575,0.16666666666666666,-0.30303030303030304,-0.03571428571428571,-0.15151515151515152,-0.036585365853658534,,0.06944444444444445,0.16666666666666666
Hindu,0.1527777777777778,0.03571428571428571,0.007575757575757576,0.01282051282051282,-0.1893939393939394,0.014285714285714285,-0.18181818181818182,0.012195121951219513,,0.125,0.041666666666666664
Jewish,-0.13194444444444445,0.17857142857142858,0.07575757575757576,0.057692307692307696,0.20454545454545456,0.1,-0.09090909090909091,0.06097560975609756,,0.125,0.125
Mormon,0.0,0.14285714285714285,0.12878787878787878,0.0641025641025641,-0.30303030303030304,0.07857142857142857,-0.09848484848484848,0.0975609756097561,,0.06944444444444445,0.5
Muslim,0.09027777777777778,0.5357142857142857,0.05303030303030303,0.1282051282051282,-0.4393939393939394,0.02142857142857143,-0.05303030303030303,0.04878048780487805,,-0.16666666666666666,0.25
Orthodox,0.013888888888888888,0.4642857142857143,0.12878787878787878,0.00641025641025641,-0.23484848484848486,0.014285714285714285,-0.08333333333333333,0.012195121951219513,,0.1388888888888889,0.18055555555555555
Protestant,-0.2222222222222222,0.08928571428571429,0.6590909090909091,0.22435897435897437,-0.19696969696969696,0.15,0.13636363636363635,-0.03048780487804878,,0.041666666666666664,0.05555555555555555
Sikh,-0.1527777777777778,-0.08928571428571429,0.3560606060606061,0.19230769230769232,-0.25,0.14285714285714285,0.4318181818181818,0.036585365853658534,,0.19444444444444445,-0.1527777777777778
