,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.08333333333333333,0.03571428571428571,0.022727272727272728,0.05128205128205128,0.1590909090909091,0.014285714285714285,0.13636363636363635,0.03048780487804878,,0.05555555555555555,0.027777777777777776
Buddhist,0.04861111111111111,0.30357142857142855,0.05303030303030303,0.04487179487179487,0.15151515151515152,0.0,0.14393939393939395,0.006097560975609756,,0.027777777777777776,0.027777777777777776
Catholic,0.0763888888888889,0.08928571428571429,0.5606060606060606,0.28846153846153844,0.16666666666666666,0.1357142857142857,0.25757575757575757,0.10975609756097561,,0.19444444444444445,0.06944444444444445
Christian,0.10416666666666667,0.08928571428571429,0.44696969696969696,0.4807692307692308,0.17424242424242425,0.12857142857142856,0.32575757575757575,0.10365853658536585,,0.20833333333333334,0.05555555555555555
Hindu,0.034722222222222224,0.16071428571428573,0.16666666666666666,0.07692307692307693,0.6666666666666666,0.03571428571428571,0.2196969696969697,0.08536585365853659,,0.09722222222222222,0.125
Jewish,0.06944444444444445,0.10714285714285714,0.22727272727272727,0.07051282051282051,0.21212121212121213,0.2642857142857143,0.25757575757575757,0.07926829268292683,,0.1527777777777778,0.1111111111111111
Mormon,0.08333333333333333,0.19642857142857142,0.2803030303030303,0.20512820512820512,0.2727272727272727,0.1357142857142857,0.6136363636363636,0.0975609756097561,,0.1527777777777778,0.027777777777777776
Muslim,0.06944444444444445,0.05357142857142857,0.19696969696969696,0.04487179487179487,0.2878787878787879,0.07142857142857142,0.1893939393939394,0.25609756097560976,,0.05555555555555555,0.1388888888888889
Orthodox,0.1111111111111111,0.16071428571428573,0.30303030303030304,0.2948717948717949,0.38636363636363635,0.24285714285714285,0.3181818181818182,0.21341463414634146,,0.16666666666666666,0.16666666666666666
Protestant,0.1111111111111111,0.07142857142857142,0.3181818181818182,0.4358974358974359,0.20454545454545456,0.12142857142857143,0.32575757575757575,0.12195121951219512,,0.4027777777777778,0.05555555555555555
Sikh,0.041666666666666664,0.19642857142857142,0.1893939393939394,0.0641025641025641,0.23484848484848486,0.07142857142857142,0.24242424242424243,0.12804878048780488,,0.1111111111111111,0.4305555555555556
