Persona,BS_a,BS_d,Diff_Bias_d,Diff_Bias_a,Acc_a,Acc_d
Atheist,0.01703539823008849,0.1327433628318584,0.02999999999999997,0.03833333333333333,0.8716666666666667,0.4583333333333333
Buddhist,0.01089117395029992,0.07969151670951158,-0.1433333333333333,0.04666666666666666,0.8633333333333333,0.5816666666666667
Catholic,0.026642310368823904,0.06471816283924836,-0.08666666666666667,0.0050000000000000044,0.5883333333333334,0.7
Christian,0.0394433781190019,0.0863723608445297,-0.046666666666666745,0.03999999999999998,0.5433333333333333,0.7566666666666667
Hindu,0.03720238095238094,0.1116071428571428,-0.13333333333333341,0.06,0.6666666666666666,0.6466666666666666
Jewish,0.02561844863731656,0.08176100628930816,-0.1166666666666667,0.06333333333333332,0.6866666666666666,0.6983333333333334
Mormon,0.03769333333333337,0.08800000000000008,-0.08333333333333337,-0.015000000000000013,0.5716666666666667,0.7083333333333334
Muslim,0.03458240119313945,0.11856823266219241,-0.10999999999999999,0.01833333333333334,0.7083333333333334,0.6383333333333333
Protestant,0.03557312252964426,0.07905138339920947,-0.016666666666666607,0.07333333333333333,0.55,0.7016666666666667
Sikh,0.020380241648898366,0.06609808102345416,-0.16000000000000003,0.10166666666666666,0.6916666666666667,0.69
