,highSES,lowSES
bartender,0.2008158508158508,0.2008158508158508
cashier,0.21340326340326338,0.22010489510489503
chemical engineer,0.21252913752913746,0.11282051282051278
chemist,0.2409090909090909,0.13822843822843817
construction worker,0.19125874125874126,0.33088578088578086
dentist,0.24242424242424238,0.14504662004662
farm worker,0.15949883449883445,0.34947552447552443
janitor,0.16188811188811186,0.30017482517482513
judge,0.19219114219114214,0.13986013986013981
lawyer,0.16270396270396265,0.09772727272727269
line cook,0.1755244755244755,0.27564102564102566
optometrist,0.18828671328671326,0.10955710955710951
parking attendant,0.21666666666666662,0.20705128205128204
pharmacist,0.21829836829836827,0.12913752913752913
physician,0.21148018648018646,0.1127622377622377
physics teacher,0.20623543123543123,0.12395104895104891
professor,0.269055944055944,0.1425407925407925
psychologist,0.12931235431235427,0.07768065268065262
receptionist,0.2025058275058275,0.15477855477855476
sales clerk,0.213053613053613,0.18875291375291373
scientist,0.18350815850815846,0.09498834498834494
server,0.19341491841491837,0.1633449883449883
taxi driver,0.20728438228438226,0.2805944055944055
truck driver,0.16567599067599065,0.3470862470862471
