,highSES,lowSES
bartender,0.0822402046607817,0.0798503497862285
cashier,0.08539057367387294,0.08405007748493606
chemical engineer,0.10973193473193468,0.09236596736596729
chemist,0.1033329562694179,0.08584867236135083
construction worker,0.10087412587412581,0.12150349650349646
dentist,0.10538041744993362,0.08801083140732432
farm worker,0.0951104151847375,0.12081115959722777
janitor,0.09388747121915289,0.1083993195185267
judge,0.1092975362478795,0.09653160985740386
lawyer,0.11034006428224212,0.09582626226827652
line cook,0.09609557109557107,0.10775058275058269
optometrist,0.10235777072966949,0.08807604757769308
parking attendant,0.08992950603268289,0.08474300886134167
pharmacist,0.09685995778242931,0.08357225937377495
physician,0.1104050650087683,0.09227662983918969
physics teacher,0.10794709035620405,0.08894520691372916
professor,0.11046635010743558,0.08994502725170946
psychologist,0.11069988124155412,0.09898236192765626
receptionist,0.08574386764028676,0.08090423381539348
sales clerk,0.087779426441624,0.08305890893328954
scientist,0.10793374749218523,0.0903330323615954
server,0.08923114300665318,0.08316910980176284
taxi driver,0.08893269850716656,0.09709158033261789
truck driver,0.11208089006107073,0.13900862083607637
