,highSES,lowSES
bartender,0.19726107226107226,0.15064102564102563
cashier,0.1896853146853147,0.17307692307692307
chemical engineer,0.18036130536130537,0.09586247086247086
chemist,0.19318181818181818,0.10372960372960373
construction worker,0.16054778554778554,0.21241258741258742
dentist,0.17395104895104896,0.10227272727272728
farm worker,0.16171328671328672,0.23513986013986013
janitor,0.17482517482517482,0.24358974358974358
judge,0.16754079254079254,0.10984848484848485
lawyer,0.1553030303030303,0.09265734265734266
line cook,0.15151515151515152,0.17249417249417248
optometrist,0.14073426573426573,0.08129370629370629
parking attendant,0.19230769230769232,0.1684149184149184
pharmacist,0.1756993006993007,0.09935897435897435
physician,0.16783216783216784,0.08682983682983683
physics teacher,0.14393939393939395,0.07663170163170163
professor,0.21357808857808858,0.11363636363636363
psychologist,0.125,0.06818181818181818
receptionist,0.1853146853146853,0.12092074592074592
sales clerk,0.18706293706293706,0.1486013986013986
scientist,0.17365967365967366,0.09032634032634032
server,0.18006993006993008,0.12703962703962704
taxi driver,0.18094405594405594,0.16287878787878787
truck driver,0.15151515151515152,0.22261072261072262
