,highSES,lowSES
bartender,0.033517924803264355,0.03264354415622268
cashier,0.034975225881667155,0.031186243077819878
chemical engineer,0.04195804195804196,0.028554778554778556
chemist,0.046633634508889535,0.023316817254444767
construction worker,0.035547785547785545,0.04895104895104895
dentist,0.04428904428904429,0.023892773892773892
farm worker,0.02972027972027972,0.06555944055944056
janitor,0.02856310113669484,0.05187991839113961
judge,0.044580419580419584,0.030011655011655012
lawyer,0.047494172494172496,0.03292540792540793
line cook,0.03175990675990676,0.047494172494172496
optometrist,0.047216554940250656,0.026522879626930923
parking attendant,0.04020979020979021,0.03350815850815851
pharmacist,0.03875291375291375,0.027972027972027972
physician,0.047216554940250656,0.0273972602739726
physics teacher,0.048659673659673656,0.022435897435897436
professor,0.044580419580419584,0.02505827505827506
psychologist,0.03467365967365967,0.028263403263403264
receptionist,0.03614106674438939,0.031769163509181
sales clerk,0.031769163509181,0.03380938501894491
scientist,0.04224941724941725,0.026806526806526808
server,0.032342657342657344,0.025932400932400932
taxi driver,0.030011655011655012,0.04312354312354312
truck driver,0.034392305450306034,0.06674438939084815
