Persona,BS_a,BS_d,Diff_Bias_d,Diff_Bias_a,Acc_a,Acc_d
bartender,0.06185019799477632,0.08674698795180724,-0.018065268065268092,0.1657925407925408,0.287004662004662,0.9023892773892774
cashier,0.05563288185056067,0.07576668671076359,-0.006993006993006978,0.15967365967365965,0.26573426573426573,0.9026806526806527
chemical engineer,0.05920489488819209,0.09575457080880079,0.002913752913752954,0.1386946386946387,0.3817016317016317,0.8650932400932401
chemist,0.05343406720428389,0.0802563320109857,0.022144522144522116,0.1593822843822844,0.3342074592074592,0.8857808857808858
construction worker,0.06185860378406961,0.07305530908015379,-0.022727272727272707,0.12529137529137524,0.15326340326340326,0.8831585081585082
dentist,0.053956869297778355,0.07923832923832919,0.01689976689976691,0.1360722610722611,0.31905594405594406,0.8767482517482518
farm worker,0.0581341935726069,0.0724724127646883,-0.005244755244755206,0.09294871794871795,0.19784382284382285,0.8843240093240093
janitor,0.04087733348061409,0.05650060753341424,0.02447552447552448,0.09120046620046618,0.2765151515151515,0.8793706293706294
judge,0.05809237340221543,0.09234507897934385,0.005827505827505908,0.15646853146853149,0.3709207459207459,0.8712121212121212
lawyer,0.04053379646265023,0.08629776021080371,0.037296037296037254,0.10606060606060608,0.5303030303030303,0.8024475524475524
line cook,0.05379137494000324,0.06722942417847455,0.027972027972028024,0.1217948717948718,0.1998834498834499,0.8735431235431236
optometrist,0.04590295365944311,0.07787391841779967,-0.018648018648018683,0.1453962703962704,0.41054778554778554,0.8636363636363636
parking attendant,0.06986319261296763,0.09450945094509455,-0.022727272727272707,0.1488927738927739,0.26078088578088576,0.9082167832167832
pharmacist,0.048140470048785564,0.07645446238196763,0.005244755244755206,0.16987179487179488,0.37033799533799533,0.8843240093240093
physician,0.06194135795125585,0.10980513454995355,0.020396270396270344,0.11013986013986013,0.4358974358974359,0.8511072261072261
physics teacher,0.05296977147007876,0.08850645359557463,0.027972027972028024,0.13636363636363638,0.4015151515151515,0.8688811188811189
professor,0.053771228771228724,0.08571428571428563,0.023310023310023298,0.15297202797202797,0.3726689976689977,0.8665501165501166
psychologist,0.047372524758210605,0.10536779324055656,0.030885780885780867,0.07546620046620048,0.5504079254079254,0.7770979020979021
receptionist,0.05228341604746095,0.0895839659884603,-0.018065268065268092,0.13257575757575757,0.4163752913752914,0.8924825174825175
sales clerk,0.06533586958115253,0.09074573225516613,-0.03146853146853146,0.15763403263403264,0.28001165501165504,0.9038461538461539
scientist,0.05113580041092931,0.10502577319587636,0.03205128205128216,0.1016899766899767,0.5131118881118881,0.8184731934731935
server,0.05869513921661165,0.10122699386503076,0.002331002331002252,0.12296037296037296,0.4201631701631702,0.8741258741258742
taxi driver,0.04866002556219952,0.06400966183574885,0.019813519813519864,0.09586247086247085,0.2398018648018648,0.8787878787878788
truck driver,0.0569118660440482,0.0681750520988389,0.015151515151515138,0.08828671328671334,0.1652097902097902,0.8479020979020979
