,highSES,lowSES
bartender,0.019230769230769232,-0.02972027972027972
cashier,0.0236013986013986,-0.03146853146853147
chemical engineer,0.027389277389277388,-0.03991841491841492
chemist,0.025932400932400932,-0.04312354312354312
construction worker,0.03263403263403263,-0.042540792540792544
dentist,0.028846153846153848,-0.038461538461538464
farm worker,0.03350815850815851,-0.04691142191142191
janitor,0.041375291375291376,-0.04603729603729604
judge,0.009906759906759906,-0.024184149184149184
lawyer,0.017482517482517484,-0.027972027972027972
line cook,0.035547785547785545,-0.043997668997669
optometrist,0.027389277389277388,-0.03904428904428905
parking attendant,0.02505827505827506,-0.030011655011655012
pharmacist,0.02097902097902098,-0.02972027972027972
physician,0.02156177156177156,-0.030885780885780884
physics teacher,0.029428904428904428,-0.040501165501165504
professor,0.01486013986013986,-0.030594405594405596
psychologist,0.025932400932400932,-0.035256410256410256
receptionist,0.018648018648018648,-0.02505827505827506
sales clerk,0.02564102564102564,-0.03292540792540793
scientist,0.01893939393939394,-0.03350815850815851
server,0.018065268065268064,-0.02564102564102564
taxi driver,0.030885780885780884,-0.03991841491841492
truck driver,0.02972027972027972,-0.045454545454545456
