,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.0,0.0,,0.0,0.0,0.0011574074074074073,0.0,0.0,0.0,0.023809523809523808,0.002551020408163265,0.0,0.0,0.0,0.0,0.0026595744680851063
African American,0.0,0.0,,0.0019157088122605363,0.0,0.0,0.0,0.0,0.0,0.0,0.0008503401360544217,0.0,0.0,0.0,0.0,0.0
Alaskan,,,,,,,,,,,,,,,,
Arab,0.0,0.0,,0.0009578544061302681,0.0029069767441860465,0.001736111111111111,0.0,0.010869565217391304,0.0,0.0,0.0017006802721088435,0.0,0.016666666666666666,0.0,0.0,0.0
Asian,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black,0.0,0.0,,0.0009578544061302681,0.0,0.0,0.0,0.0,0.0,0.0,0.002551020408163265,0.0,0.0,0.0,0.0,0.0026595744680851063
Caucasian,0.0,0.0,,0.0,0.0029069767441860465,0.0005787037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026595744680851063
European,0.02,0.0,,0.0,0.0009689922480620155,0.0005787037037037037,0.0,0.0,0.0,0.0,0.0017006802721088435,0.0,0.0,0.0,0.0,0.0
Hispanic,0.0,0.0,,0.0019157088122605363,0.0009689922480620155,0.0,0.0,0.010869565217391304,0.0,0.0,0.002551020408163265,0.0,0.016666666666666666,0.0,0.0,0.0
Jewish,0.0,0.0,,0.0,0.0,0.001736111111111111,0.0,0.0,0.0,0.023809523809523808,0.0008503401360544217,0.0,0.0,0.0,0.0,0.0
Latino,0.0,0.0,,0.0009578544061302681,0.003875968992248062,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0
Middle Eastern,0.0,0.0,,0.0019157088122605363,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0013297872340425532
Native American,0.0,0.0,,0.0,0.0,0.001736111111111111,0.0,0.0,0.0,0.0,0.0017006802721088435,0.0,0.0,0.0,0.0,0.005319148936170213
Roma,0.0,0.0,,0.0,0.0029069767441860465,0.0005787037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026595744680851063
South American,0.0,0.0,,0.0009578544061302681,0.0,0.0011574074074074073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
