,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.08333333333333333,0.03571428571428571,0.06060606060606061,0.0,0.3939393939393939,0.05714285714285714,0.045454545454545456,0.06097560975609756,,0.1388888888888889,0.0
Buddhist,0.08333333333333333,0.05357142857142857,0.045454545454545456,0.0,0.3484848484848485,0.05,0.045454545454545456,0.06097560975609756,,0.125,0.0
Catholic,0.08333333333333333,0.03571428571428571,0.08333333333333333,0.01282051282051282,0.38636363636363635,0.05714285714285714,0.08333333333333333,0.08536585365853659,,0.125,0.0
Christian,0.08333333333333333,0.03571428571428571,0.07575757575757576,0.02564102564102564,0.38636363636363635,0.05714285714285714,0.08333333333333333,0.06707317073170732,,0.1527777777777778,0.0
Hindu,0.0763888888888889,0.03571428571428571,0.07575757575757576,0.01282051282051282,0.4015151515151515,0.05714285714285714,0.05303030303030303,0.08536585365853659,,0.1388888888888889,0.0
Jewish,0.08333333333333333,0.03571428571428571,0.07575757575757576,0.0,0.4090909090909091,0.05714285714285714,0.05303030303030303,0.07926829268292683,,0.1111111111111111,0.0
Mormon,0.09027777777777778,0.03571428571428571,0.05303030303030303,0.01282051282051282,0.3787878787878788,0.05714285714285714,0.15151515151515152,0.08536585365853659,,0.1388888888888889,0.0
Muslim,0.09027777777777778,0.03571428571428571,0.09090909090909091,0.01282051282051282,0.4015151515151515,0.05714285714285714,0.09090909090909091,0.07926829268292683,,0.1111111111111111,0.0
Orthodox,0.0763888888888889,0.03571428571428571,0.08333333333333333,0.02564102564102564,0.3787878787878788,0.05714285714285714,0.09090909090909091,0.06707317073170732,,0.1527777777777778,0.0
Protestant,0.08333333333333333,0.03571428571428571,0.07575757575757576,0.03205128205128205,0.4090909090909091,0.05714285714285714,0.09848484848484848,0.09146341463414634,,0.1388888888888889,0.0
Sikh,0.08333333333333333,0.03571428571428571,0.09090909090909091,0.019230769230769232,0.4090909090909091,0.05714285714285714,0.06818181818181818,0.06707317073170732,,0.1388888888888889,0.027777777777777776
