,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.020833333333333332,0.0,0.0,0.0,0.07575757575757576,0.014285714285714285,0.0,0.018292682926829267,,0.027777777777777776,0.0
Buddhist,0.020833333333333332,0.017857142857142856,0.0,0.0,0.08333333333333333,0.014285714285714285,0.0,0.018292682926829267,,0.027777777777777776,0.0
Catholic,0.013888888888888888,0.0,0.007575757575757576,0.0,0.08333333333333333,0.02142857142857143,0.0,0.018292682926829267,,0.027777777777777776,0.0
Christian,0.020833333333333332,0.0,0.007575757575757576,0.0,0.08333333333333333,0.02142857142857143,0.0,0.012195121951219513,,0.027777777777777776,0.0
Hindu,0.020833333333333332,0.0,0.0,0.0,0.08333333333333333,0.02142857142857143,0.0,0.018292682926829267,,0.027777777777777776,0.0
Jewish,0.013888888888888888,0.0,0.015151515151515152,0.0,0.07575757575757576,0.02857142857142857,0.0,0.012195121951219513,,0.027777777777777776,0.0
Mormon,0.013888888888888888,0.0,0.0,0.0,0.06060606060606061,0.014285714285714285,0.0,0.018292682926829267,,0.013888888888888888,0.0
Muslim,0.020833333333333332,0.017857142857142856,0.015151515151515152,0.0,0.10606060606060606,0.02142857142857143,0.0,0.018292682926829267,,0.027777777777777776,0.0
Orthodox,0.013888888888888888,0.0,0.0,0.019230769230769232,0.06818181818181818,0.02142857142857143,0.0,0.018292682926829267,,0.05555555555555555,0.0
Protestant,0.013888888888888888,0.0,0.015151515151515152,0.0,0.07575757575757576,0.014285714285714285,0.007575757575757576,0.018292682926829267,,0.027777777777777776,0.0
Sikh,0.020833333333333332,0.017857142857142856,0.007575757575757576,0.0,0.09848484848484848,0.02142857142857143,0.007575757575757576,0.018292682926829267,,0.027777777777777776,0.013888888888888888
