,highSES,lowSES
bartender,0.009324009324009324,0.009324009324009324
cashier,0.011946386946386946,0.011946386946386946
chemical engineer,0.010198135198135198,0.010198135198135198
chemist,0.011072261072261072,0.011072261072261072
construction worker,0.01048951048951049,0.01048951048951049
dentist,0.011363636363636364,0.011363636363636364
farm worker,0.009906759906759906,0.009906759906759906
janitor,0.01078088578088578,0.01078088578088578
judge,0.005244755244755245,0.005244755244755245
lawyer,0.008158508158508158,0.008158508158508158
line cook,0.011363636363636364,0.011363636363636364
optometrist,0.01048951048951049,0.01048951048951049
parking attendant,0.012237762237762238,0.012237762237762238
pharmacist,0.005827505827505828,0.005827505827505828
physician,0.007284382284382284,0.007284382284382284
physics teacher,0.011072261072261072,0.011072261072261072
professor,0.01048951048951049,0.01048951048951049
psychologist,0.003205128205128205,0.003205128205128205
receptionist,0.011655011655011656,0.011655011655011656
sales clerk,0.011363636363636364,0.011363636363636364
scientist,0.009032634032634032,0.009032634032634032
server,0.01252913752913753,0.01252913752913753
taxi driver,0.01078088578088578,0.01078088578088578
truck driver,0.011072261072261072,0.011072261072261072
