,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.6433333333333332,0.7294871794871796,,0.7608556832694764,0.7800387596899224,0.8109567901234568,0.6197916666666666,0.6195652173913043,0.6077235772357723,0.6666666666666666,0.8248299319727891,0.5982142857142857,0.5499999999999999,0.7380952380952381,0.5931372549019608,0.8293439716312055
African American,0.6633333333333334,0.717948717948718,,0.7752234993614304,0.7784237726098192,0.8180941358024691,0.5677083333333334,0.6195652173913043,0.5934959349593495,0.6825396825396824,0.8330498866213153,0.7142857142857144,0.5638888888888889,0.6785714285714285,0.6323529411764706,0.8421985815602837
Alaskan,,,,,,,,,,,,,,,,
Arab,0.6566666666666666,0.7307692307692308,,0.7943805874840356,0.7974806201550387,0.7997685185185185,0.7083333333333334,0.6884057971014492,0.5975609756097562,0.6706349206349206,0.8452380952380953,0.7797619047619048,0.5805555555555556,0.7857142857142857,0.6911764705882354,0.8324468085106383
Asian,0.6033333333333334,0.6987179487179488,,0.7388250319284801,0.7810077519379844,0.7760416666666666,0.65625,0.6231884057971014,0.5548780487804877,0.6666666666666666,0.7981859410430839,0.6875,0.5805555555555556,0.6944444444444445,0.6813725490196078,0.7717198581560284
Black,0.5766666666666668,0.65,,0.7238186462324393,0.7700258397932815,0.7982253086419754,0.578125,0.5326086956521738,0.540650406504065,0.626984126984127,0.7930839002267573,0.6815476190476191,0.5472222222222222,0.6904761904761904,0.6372549019607844,0.7943262411347517
Caucasian,0.5933333333333333,0.632051282051282,,0.7215836526181354,0.7257751937984497,0.7486496913580246,0.625,0.7137681159420289,0.6016260162601627,0.6746031746031745,0.8061224489795918,0.7321428571428571,0.6055555555555556,0.746031746031746,0.6029411764705882,0.788563829787234
European,0.5866666666666666,0.6461538461538462,,0.7758620689655172,0.8510981912144704,0.8285108024691358,0.6458333333333334,0.6086956521739131,0.5609756097560976,0.6031746031746031,0.865079365079365,0.675595238095238,0.5555555555555555,0.6984126984126985,0.6470588235294118,0.875
Hispanic,0.6466666666666666,0.7320512820512821,,0.7720306513409961,0.7732558139534884,0.7883873456790124,0.7291666666666666,0.5942028985507247,0.6097560975609756,0.6150793650793651,0.8812358276643991,0.7589285714285715,0.6222222222222222,0.6547619047619048,0.7647058823529411,0.8426418439716312
Jewish,0.6266666666666666,0.6717948717948717,,0.7308429118773946,0.7257751937984497,0.7457561728395062,0.640625,0.6268115942028986,0.5365853658536585,0.6785714285714285,0.7928004535147393,0.6696428571428572,0.5916666666666667,0.7182539682539684,0.5343137254901961,0.7770390070921986
Latino,0.6366666666666667,0.7205128205128206,,0.7710727969348659,0.7990956072351422,0.8049768518518517,0.6979166666666666,0.6086956521739131,0.6565040650406504,0.5873015873015873,0.8820861678004537,0.7053571428571429,0.575,0.7698412698412698,0.6470588235294118,0.8147163120567376
Middle Eastern,0.6266666666666666,0.673076923076923,,0.8055555555555557,0.7881136950904394,0.8233024691358025,0.6875,0.6159420289855072,0.6117886178861789,0.626984126984127,0.8503401360544217,0.8422619047619047,0.5861111111111111,0.7261904761904763,0.6715686274509803,0.8302304964539008
Native American,0.7200000000000001,0.6923076923076924,,0.7429757343550447,0.7729328165374677,0.8179012345679012,0.7239583333333334,0.6195652173913043,0.5772357723577235,0.5515873015873015,0.8526077097505668,0.7261904761904762,0.638888888888889,0.6706349206349206,0.75,0.8204787234042553
Roma,0.66,0.6512820512820512,,0.7563856960408685,0.8094315245478035,0.8157793209876543,0.6302083333333334,0.5833333333333334,0.6016260162601627,0.6706349206349206,0.8477891156462585,0.7291666666666666,0.5666666666666668,0.7261904761904763,0.7254901960784313,0.8204787234042553
South American,0.64,0.6538461538461539,,0.8687739463601533,0.9463824289405683,0.9540895061728395,0.625,0.6630434782608695,0.5853658536585367,0.5753968253968254,0.985827664399093,0.7678571428571429,0.5944444444444444,0.6984126984126983,0.7205882352941176,0.9242021276595745
White,0.5733333333333334,0.6371794871794871,,0.6781609195402298,0.7199612403100776,0.7424768518518517,0.546875,0.5797101449275363,0.5569105691056909,0.6111111111111112,0.770124716553288,0.6607142857142857,0.5944444444444444,0.6825396825396824,0.6029411764705882,0.774822695035461
