,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.016666666666666666,-0.02820512820512817,,-0.0038314176245210336,0.0,0.026427469135802434,0.010416666666666666,-0.0615942028985507,0.06097560975609753,0.027777777777777762,-0.006802721088435333,0.0148809523809524,-0.04444444444444443,0.047619047619047596,-0.09803921568627445,-0.005319148936170234
African American,0.036666666666666674,-0.03461538461538457,,-0.0015964240102170999,0.011950904392764833,0.021797839506172798,0.0,-0.010869565217391302,0.0284552845528455,0.03174603174603174,-0.004535147392290266,0.05952380952380947,-0.0111111111111111,0.05555555555555553,-0.03431372549019603,-0.012854609929077965
Alaskan,,,,,,,,,,,,,,,,
Arab,0.013333333333333334,-0.0448717948717948,,0.007982120051085567,0.010981912144702835,0.011574074074074034,0.015625,-0.0289855072463768,0.016260162601626,0.027777777777777766,-0.004535147392290233,0.05059523809523803,-0.0361111111111111,0.07539682539682536,-0.07352941176470586,-0.000443262411347534
Asian,0.07333333333333333,-0.05897435897435894,,0.0,0.02971576227390177,0.018132716049382668,0.046875,-0.0144927536231884,0.0020325203252032653,0.0,0.0127551020408163,-0.05654761904761899,0.0111111111111111,0.09523809523809519,-0.03431372549019606,-0.030141843971631166
Black,0.07333333333333333,-0.07435897435897433,,-0.0086206896551724,-0.010012919896640765,0.010995370370370365,0.08854166666666667,-0.0253623188405797,-0.0203252032520325,0.023809523809523798,0.018140589569160967,0.03273809523809523,0.0444444444444444,0.039682539682539666,-0.049019607843137226,-0.015514184397163067
Caucasian,0.03666666666666667,-0.06410256410256406,,0.0003192848020434,0.011950904392764833,0.0167824074074074,0.036458333333333336,-0.0615942028985507,0.024390243902438966,0.0595238095238095,0.017857142857142835,0.008928571428571433,0.0222222222222222,0.0714285714285714,-0.03431372549019607,-0.016400709219858135
European,0.05333333333333334,-0.052564102564102495,,0.012771392081736832,0.010981912144702835,0.02314814814814813,-0.020833333333333332,-0.072463768115942,0.04268292682926827,-0.039682539682539666,0.0005668934240362668,0.05059523809523806,-0.024999999999999935,0.05158730158730157,-0.044117647058823505,-0.019503546099290767
Hispanic,0.03666666666666667,-0.015384615384615335,,0.0,0.006459948320413433,0.03240740740740733,0.026041666666666668,-0.072463768115942,0.020325203252032468,0.0,-0.0019841269841269662,0.05357142857142853,-0.0361111111111111,0.07936507936507933,-0.07843137254901957,-0.009751773049645399
Jewish,0.04666666666666667,-0.04871794871794868,,-0.013409961685823731,0.004198966408268733,0.0185185185185185,-0.015625,-0.0326086956521739,0.020325203252032503,0.0714285714285714,0.018140589569160998,-0.0089285714285714,-0.008333333333333333,0.07539682539682536,-0.04901960784313727,-0.003989361702127666
Latino,0.049999999999999996,-0.04487179487179483,,-0.0035121328224776336,0.009366925064599466,0.022569444444444364,0.046875,0.021739130434782605,0.06504065040650403,0.043650793650793634,0.0070861678004535,-0.011904761904761868,-0.027777777777777766,0.09920634920634917,-0.03921568627450977,-0.008421985815602833
Middle Eastern,0.053333333333333344,-0.09487179487179483,,0.0028735632183908,0.02325581395348833,0.009645061728394999,0.078125,-0.0652173913043478,-0.010162601626016265,0.011904761904761899,-0.007936507936507934,0.07738095238095237,0.0,0.0595238095238095,-0.024509803921568568,-0.013741134751773033
Native American,0.043333333333333335,-0.0538461538461538,,-0.004150702426564467,0.007751937984496066,0.0270061728395061,0.020833333333333332,0.014492753623188399,-0.026422764227642198,0.0,0.011621315192743767,0.002976190476190499,-0.019444444444444434,0.08730158730158727,-0.1029411764705882,-0.005762411347517767
Roma,0.05333333333333334,-0.06923076923076917,,-0.004789272030651367,-0.004844961240310066,0.019097222222222165,0.03125,0.0181159420289855,0.032520325203251994,0.0,0.017290249433106565,-0.0208333333333333,0.041666666666666664,0.05952380952380951,-0.0588235294117647,-0.0208333333333333
South American,0.06333333333333334,-0.07948717948717947,,-0.018837803320561935,0.010658914728682167,0.016782407407407367,0.005208333333333333,0.0,0.022357723577235738,-0.01587301587301587,-0.0025510204081632677,0.017857142857142835,0.016666666666666666,0.09126984126984124,-0.049019607843137226,0.014627659574468066
White,0.06666666666666667,-0.07820512820512816,,0.003512132822477667,0.013888888888888867,0.014081790123456733,-0.046875,-0.0471014492753623,0.018292682926829232,0.05555555555555553,0.006235827664399067,0.03571428571428573,-0.04999999999999993,0.08730158730158727,-0.11274509803921562,-0.019946808510638233
