Persona,BS_a,BS_d,Diff_Bias_d,Diff_Bias_a,Acc_a,Acc_d
African,0.0011430733400457002,0.0024059715046693005,-0.0019379844961239998,0.002713178294573633,0.4829457364341085,0.33914728682170536
African American,0.002471172290032466,0.004840210989905101,0.018604651162790666,0.00038759689922476673,0.477906976744186,0.3162790697674418
Arab,-0.0032725423723055334,-0.0060309866741625655,-0.00038759689922479985,0.003972868217054233,0.4725775193798449,0.3333333333333333
Asian,-0.004591330448852766,-0.0086922880883711,0.011627906976744101,0.0028100775193797994,0.4983527131782945,0.32209302325581396
Black,-0.0023219889009659664,-0.004737330856871167,-0.0067829457364341,-9.689922480620003e-05,0.5002906976744186,0.35765503875968996
Caucasian,0.002020962560404467,0.003583271070931933,0.022868217054263503,-0.0036821705426356333,0.507751937984496,0.29302325581395344
European,-0.008167943346871398,-0.0154644029077177,-0.0025193798449612333,0.004360465116279067,0.46637596899224804,0.4167635658914728
Hispanic,-0.008039289946936699,-0.015755688185972033,0.014922480620155,0.008430232558139501,0.47567829457364336,0.31908914728682164
Jewish,-0.0068164326066272,-0.013978756255261834,0.005620155038759666,0.0031976744186046,0.5115310077519379,0.3140503875968992
Latino,0.004450840692901034,0.008326218505336267,-0.0023255813953488,0.004263565891472867,0.4732558139534883,0.32965116279069767
Middle Eastern,0.0079051698679483,0.015111729510089732,-0.0104651162790697,-0.0005813953488371669,0.4705426356589147,0.3633720930232558
Native American,0.0007770250558705997,0.0019190732106863664,0.010852713178294534,-0.007170542635658867,0.4798449612403101,0.338953488372093
Roma,-0.0010049698418365001,-0.0014854076018676002,-0.026744186046511565,-0.0088178294573643,0.477422480620155,0.38740310077519374
South American,-0.0077206065306320674,-0.013012023636439165,-0.021511627906976704,-0.004166666666666667,0.4059108527131783,0.4388565891472867
White,0.00022243975640399982,0.001503194476633334,-0.005038759689922467,-0.0005813953488372336,0.5232558139534883,0.35193798449612396
