Persona,BS_a,BS_d,Diff_Bias_d,Diff_Bias_a,Acc_a,Acc_d
Atheist,-8.672524405396037e-05,0.0006991104592949597,-0.06599999999999996,-0.01000000000000002,0.668,0.24100000000000002
Buddhist,0.00384313557199976,0.0011647147692522592,-0.1266666666666666,0.035999999999999935,0.6313333333333333,0.29933333333333334
Catholic,0.00375361609929394,0.006705544523447798,-0.09799999999999993,-0.01199999999999996,0.5506666666666666,0.28900000000000003
Christian,0.015677708934826,0.03836252538314113,-0.08533333333333327,0.0036666666666666397,0.5603333333333333,0.2793333333333333
Hindu,0.01665086208582774,0.03971813751680146,-0.10266666666666661,0.013666666666666641,0.549,0.2886666666666666
Jewish,-0.0007635420101769403,-0.0019866255849144403,-0.04933333333333328,-0.009999999999999978,0.558,0.27599999999999997
Mormon,-0.00011510351117197947,-0.0009046214454288603,-0.07399999999999998,0.0010000000000000206,0.5203333333333333,0.2923333333333333
Muslim,0.00692549629673464,0.015162685428437577,-0.08399999999999995,0.008666666666666621,0.5673333333333334,0.24666666666666665
Protestant,0.0022157963106240798,0.0026517180130222785,-0.10866666666666665,0.01000000000000002,0.5846666666666668,0.2703333333333333
Sikh,-0.00219145663557958,-0.00901282584263644,-0.08199999999999996,0.01199999999999998,0.5793333333333333,0.2776666666666666
