,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.4930555555555556,0.375,0.4621212121212121,0.38461538461538464,0.4015151515151515,0.4785714285714286,0.42424242424242425,0.3231707317073171,,0.4583333333333333,0.4444444444444444
Buddhist,0.4861111111111111,0.5714285714285714,0.3181818181818182,0.23076923076923078,0.4015151515151515,0.4357142857142857,0.36363636363636365,0.31097560975609756,,0.3333333333333333,0.4166666666666667
Catholic,0.4305555555555556,0.35714285714285715,0.4696969696969697,0.3525641025641026,0.4090909090909091,0.4357142857142857,0.4318181818181818,0.2926829268292683,,0.3472222222222222,0.2916666666666667
Christian,0.4375,0.4642857142857143,0.5833333333333334,0.391025641025641,0.49242424242424243,0.4928571428571429,0.5833333333333334,0.3475609756097561,,0.5416666666666666,0.5
Hindu,0.5347222222222222,0.5,0.3560606060606061,0.3525641025641026,0.5303030303030303,0.37857142857142856,0.4090909090909091,0.3719512195121951,,0.3055555555555556,0.4722222222222222
Jewish,0.5416666666666666,0.5535714285714286,0.5454545454545454,0.42948717948717946,0.5075757575757576,0.5571428571428572,0.49242424242424243,0.39634146341463417,,0.3888888888888889,0.5138888888888888
Mormon,0.4652777777777778,0.39285714285714285,0.44696969696969696,0.32051282051282054,0.48484848484848486,0.40714285714285714,0.48484848484848486,0.36585365853658536,,0.4444444444444444,0.4027777777777778
Muslim,0.3888888888888889,0.44642857142857145,0.4090909090909091,0.3525641025641026,0.3939393939393939,0.4,0.3409090909090909,0.4024390243902439,,0.4861111111111111,0.375
Orthodox,0.3194444444444444,0.5357142857142857,0.36363636363636365,0.358974358974359,0.5909090909090909,0.4357142857142857,0.4772727272727273,0.36585365853658536,,0.4027777777777778,0.2916666666666667
Protestant,0.3055555555555556,0.42857142857142855,0.4318181818181818,0.27564102564102566,0.4166666666666667,0.4642857142857143,0.5303030303030303,0.3170731707317073,,0.3888888888888889,0.4166666666666667
Sikh,0.4027777777777778,0.4642857142857143,0.3712121212121212,0.23076923076923078,0.4696969696969697,0.37142857142857144,0.44696969696969696,0.31097560975609756,,0.2777777777777778,0.5138888888888888
