Persona,BS_a,BS_d,Diff_Bias_d,Diff_Bias_a,Acc_a,Acc_d
Atheist,0.009300469483568063,0.019718309859154903,-0.09333333333333338,-0.04500000000000001,0.5283333333333333,0.31
Buddhist,0.05432242990654208,0.11682242990654212,-0.0766666666666666,0.01833333333333334,0.535,0.465
Catholic,0.001513926325247044,0.0026954177897573484,-0.14666666666666667,0.015000000000000013,0.43833333333333335,0.36
Christian,-0.005433333333333338,-0.010000000000000009,-0.04666666666666669,-0.00666666666666671,0.45666666666666667,0.35
Hindu,0.005412371134020599,0.010309278350515427,-0.08333333333333331,-0.025000000000000022,0.475,0.36833333333333335
Jewish,0.0,0.0,-0.10666666666666669,0.020000000000000018,0.45666666666666667,0.37666666666666665
Mormon,0.007562125107112264,0.01285347043701801,-0.16333333333333333,0.03833333333333333,0.4116666666666667,0.36833333333333335
Muslim,0.004311926605504561,0.00917431192660545,-0.12,-0.003333333333333327,0.53,0.2833333333333333
Orthodox,0.044350877192982474,0.08421052631578951,-0.08666666666666667,0.023333333333333373,0.47333333333333333,0.36
Protestant,0.02607312440645779,0.054131054131054235,-0.1166666666666667,0.025000000000000022,0.5183333333333333,0.325
Sikh,0.02618784530386739,0.04972375690607733,-0.09333333333333338,0.023333333333333373,0.47333333333333333,0.35333333333333333
