,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,-0.027777777777777776,-0.03571428571428571,0.022727272727272728,-0.02564102564102564,0.045454545454545456,-0.03571428571428571,-0.022727272727272728,-0.018292682926829267,,0.027777777777777776,-0.013888888888888888
Buddhist,0.08333333333333333,0.19642857142857142,0.08333333333333333,-0.019230769230769232,0.03787878787878788,-0.007142857142857143,0.0,-0.006097560975609756,,0.041666666666666664,0.06944444444444445
Catholic,0.020833333333333332,0.07142857142857142,0.03787878787878788,0.02564102564102564,0.015151515151515152,-0.04285714285714286,-0.007575757575757576,-0.006097560975609756,,0.041666666666666664,0.013888888888888888
Christian,0.006944444444444444,-0.03571428571428571,0.030303030303030304,0.00641025641025641,0.0,-0.05714285714285714,0.022727272727272728,-0.018292682926829267,,0.0,0.027777777777777776
Hindu,0.006944444444444444,-0.05357142857142857,-0.022727272727272728,0.02564102564102564,0.05303030303030303,-0.02142857142857143,0.007575757575757576,0.018292682926829267,,0.041666666666666664,0.06944444444444445
Jewish,0.0,0.0,0.015151515151515152,-0.01282051282051282,-0.022727272727272728,0.014285714285714285,0.007575757575757576,-0.006097560975609756,,-0.041666666666666664,0.041666666666666664
Mormon,0.04861111111111111,-0.017857142857142856,-0.06060606060606061,-0.01282051282051282,0.007575757575757576,0.014285714285714285,0.03787878787878788,0.006097560975609756,,-0.027777777777777776,-0.027777777777777776
Muslim,-0.034722222222222224,0.017857142857142856,-0.007575757575757576,-0.00641025641025641,0.0,0.05,0.022727272727272728,0.006097560975609756,,0.041666666666666664,0.041666666666666664
Orthodox,-0.020833333333333332,0.07142857142857142,0.05303030303030303,-0.01282051282051282,-0.022727272727272728,0.007142857142857143,-0.045454545454545456,0.03048780487804878,,0.013888888888888888,0.0
Protestant,0.013888888888888888,0.0,0.030303030303030304,-0.00641025641025641,-0.030303030303030304,0.02857142857142857,0.007575757575757576,0.018292682926829267,,0.1111111111111111,-0.027777777777777776
Sikh,0.013888888888888888,0.03571428571428571,-0.06818181818181818,-0.02564102564102564,0.03787878787878788,-0.014285714285714285,-0.03787878787878788,0.07926829268292683,,-0.013888888888888888,0.0
