,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.18666666666666668,0.0769230769230769,,0.05363984674329497,0.0429586563307493,0.03877314814814813,0.026041666666666668,-0.09782608695652169,-0.030487804878048766,-2.3129646346357427e-18,0.008219954648526031,-0.07440476190476186,-0.0138888888888889,0.023809523809523798,0.0392156862745098,0.016400709219858135
African American,0.07666666666666666,0.07820512820512816,,0.025862068965517234,-0.020671834625322967,0.05999228395061723,0.14583333333333334,-0.1050724637681159,-0.028455284552845503,0.011904761904761899,0.049603174603174593,0.0,0.03888888888888887,0.0833333333333333,-0.09313725490196073,-0.002659574468085065
Alaskan,,,,,,,,,,,,,,,,
Arab,0.03666666666666667,-0.0269230769230769,,0.07567049808429113,0.04328165374676996,0.016975308641975266,0.08854166666666667,-0.0688405797101449,0.026422764227642268,0.047619047619047596,0.019841269841269767,0.10119047619047616,-0.0444444444444444,-0.01984126984126983,0.09803921568627445,0.08023049645390067
Asian,0.016666666666666666,0.0179487179487179,,0.022349936143039567,0.109173126614987,0.018711419753086402,0.036458333333333336,0.043478260869565195,-0.016260162601625966,0.10317460317460314,0.005952380952380967,-0.06845238095238089,0.0833333333333333,-0.027777777777777766,-0.06862745098039214,0.033687943262411334
Black,0.02,0.025641025641025637,,0.013729246487867166,-0.0038759689922481,0.06693672839506169,0.06770833333333333,-0.036231884057971,-0.03455284552845523,0.003968253968253965,0.03968253968253963,-0.005952380952380936,0.027777777777777735,0.06746031746031743,0.0049019607843137,0.03900709219858153
Caucasian,-0.03333333333333333,0.0064102564102564005,,-0.0009578544061302676,0.031653746770025804,-0.008680555555555566,0.125,0.054347826086956506,0.014227642276422764,0.08730158730158727,0.007653061224489765,0.035714285714285705,-0.019444444444444434,0.05158730158730157,-0.02941176470588233,0.06870567375886523
European,-0.023333333333333334,-0.017948717948717937,,0.047573435504469935,0.031330749354005136,0.03144290123456787,0.07291666666666667,0.19927536231884055,0.028455284552845503,0.015873015873015865,0.04450113378684803,-0.008928571428571433,-0.05555555555555553,0.01984126984126983,0.0980392156862745,0.07491134751773047
Hispanic,-0.02666666666666667,0.02435897435897434,,0.0386334610472541,-0.021640826873385,0.0260416666666666,0.09375,-0.032608695652173905,0.13617886178861782,2.3129646346357427e-18,0.12471655328798183,-0.08928571428571423,0.0,0.03174603174603173,-0.029411764705882373,0.022606382978723333
Jewish,-0.016666666666666666,0.011538461538461534,,0.05363984674329497,0.0268087855297157,0.0071373456790123,0.078125,-0.0652173913043478,0.0121951219512195,0.2658730158730158,0.033446712018140534,0.017857142857142867,-0.1055555555555555,0.003968253968253967,0.11274509803921563,0.044769503546099265
Latino,-0.03,-0.0153846153846154,,0.036717752234993566,0.008720930232558167,0.024305555555555528,0.041666666666666664,-0.0181159420289855,0.06300813008130077,0.01587301587301587,0.11167800453514733,0.017857142857142867,0.0138888888888889,0.1071428571428571,0.15686274509803916,0.015070921985815599
Middle Eastern,0.049999999999999996,0.02435897435897437,,0.12037037037037034,0.010981912144702866,0.0219907407407407,-0.005208333333333333,-0.0507246376811594,0.03252032520325197,-0.019841269841269837,0.012471655328798167,0.20833333333333326,0.008333333333333333,-0.0595238095238095,-0.06862745098039214,0.003989361702127635
Native American,0.02,-0.005128205128205168,,0.03256704980842907,0.018733850129198898,0.0559413580246913,0.026041666666666668,0.010869565217391302,-0.012195121951219468,0.023809523809523798,0.02692743764172333,-0.011904761904761899,0.23888888888888885,0.03174603174603174,-0.02941176470588233,0.07180851063829784
Roma,0.02666666666666666,-0.016666666666666635,,0.03416347381864623,0.04231266149870794,0.029128086419753035,0.140625,-0.010869565217391297,0.020325203252032503,0.11111111111111106,0.048469387755102004,-0.005952380952380934,0.0333333333333333,0.10317460317460315,0.03921568627450977,0.062499999999999965
South American,0.03333333333333333,0.008974358974358965,,0.03160919540229876,0.03875968992248057,0.0434027777777777,-0.041666666666666664,-0.08333333333333333,0.024390243902439036,0.039682539682539666,0.1077097505668934,-0.008928571428571433,-0.011111111111111134,-0.011904761904761902,0.15196078431372548,0.0031028368794326355
White,0.003333333333333332,0.0012820512820513007,,0.009897828863346099,0.039405684754521934,0.022762345679012266,0.041666666666666664,0.0471014492753623,0.04471544715447149,0.043650793650793634,0.0153061224489796,-0.0148809523809524,0.0,0.043650793650793634,0.0,0.05984042553191487
