,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.2966666666666667,0.27435897435897433,,0.35727969348659006,0.3607881136950904,0.3308256172839506,0.265625,0.2717391304347826,0.23780487804878048,0.1944444444444444,0.35402494331065754,0.2797619047619047,0.2583333333333333,0.3055555555555555,0.22549019607843132,0.34840425531914887
African American,0.2866666666666667,0.35384615384615375,,0.38314176245210724,0.3666020671834625,0.3618827160493827,0.2708333333333333,0.2789855072463768,0.29471544715447157,0.2619047619047619,0.3942743764172336,0.3214285714285714,0.2805555555555556,0.28968253968253965,0.2549019607843137,0.39804964539007087
Alaskan,,,,,,,,,,,,,,,,
Arab,0.23,0.23333333333333328,,0.3528097062579821,0.3662790697674418,0.3194444444444444,0.2708333333333333,0.2028985507246376,0.23170731707317072,0.21825396825396823,0.36026077097505665,0.2708333333333333,0.27499999999999997,0.24603174603174596,0.2156862745098039,0.3661347517730496
Asian,0.3033333333333334,0.23076923076923075,,0.34802043422733075,0.35303617571059426,0.3186728395061728,0.23958333333333334,0.27536231884057966,0.19105691056910568,0.242063492063492,0.34892290249433106,0.23809523809523805,0.23888888888888882,0.32936507936507936,0.24999999999999997,0.37854609929078015
Black,0.2733333333333334,0.26410256410256405,,0.35664112388250313,0.33688630490956073,0.32561728395061723,0.2916666666666667,0.2934782608695652,0.23170731707317072,0.24603174603174596,0.36224489795918363,0.2857142857142857,0.25555555555555554,0.2738095238095238,0.2352941176470588,0.36746453900709214
Caucasian,0.27,0.28717948717948716,,0.36526181353767556,0.36498708010335923,0.34625771604938266,0.328125,0.3007246376811594,0.2621951219512195,0.22619047619047614,0.36451247165532874,0.2589285714285714,0.3083333333333333,0.2579365079365079,0.2401960784313725,0.3838652482269504
European,0.27999999999999997,0.23846153846153842,,0.38346104725415064,0.37370801033591733,0.33391203703703703,0.2760416666666667,0.28623188405797095,0.2317073170731707,0.17460317460317454,0.3676303854875283,0.30952380952380953,0.2805555555555556,0.23809523809523803,0.22549019607843132,0.3834219858156029
Hispanic,0.19666666666666666,0.24102564102564097,,0.3773946360153257,0.35077519379844957,0.33487654320987653,0.265625,0.24275362318840576,0.26829268292682923,0.24206349206349206,0.39115646258503395,0.32738095238095233,0.27499999999999997,0.2698412698412698,0.24509803921568626,0.3781028368794326
Jewish,0.31666666666666665,0.23461538461538456,,0.3825031928480204,0.3620801033591731,0.3258101851851852,0.2708333333333333,0.25362318840579706,0.23170731707317072,0.2539682539682539,0.37641723356009066,0.31845238095238093,0.2805555555555555,0.22222222222222218,0.21078431372549014,0.35815602836879434
Latino,0.22,0.2333333333333333,,0.3917624521072797,0.3682170542635659,0.34375,0.3020833333333333,0.26449275362318836,0.25406504065040647,0.21825396825396823,0.39370748299319724,0.2857142857142857,0.21666666666666667,0.24999999999999997,0.26960784313725483,0.37145390070921985
Middle Eastern,0.3333333333333333,0.2282051282051282,,0.35185185185185186,0.33494832041343664,0.30883487654320985,0.234375,0.3079710144927536,0.23373983739837398,0.2261904761904762,0.35515873015873006,0.3005952380952381,0.26944444444444443,0.19841269841269837,0.20588235294117643,0.3745567375886525
Native American,0.26333333333333336,0.23333333333333328,,0.367816091954023,0.3598191214470283,0.32291666666666663,0.25,0.20652173913043473,0.22560975609756095,0.242063492063492,0.3687641723356008,0.3363095238095237,0.26666666666666666,0.21031746031746026,0.2205882352941176,0.3781028368794326
Roma,0.3066666666666667,0.2038461538461538,,0.3435504469987229,0.34140826873385005,0.3161651234567901,0.265625,0.25362318840579706,0.2235772357723577,0.242063492063492,0.36224489795918363,0.2827380952380952,0.2666666666666666,0.30158730158730157,0.23039215686274508,0.3683510638297873
South American,0.29333333333333333,0.22179487179487176,,0.3502554278416347,0.3420542635658914,0.32561728395061723,0.21875,0.22463768115942026,0.26422764227642276,0.18253968253968247,0.37159863945578225,0.31547619047619047,0.2888888888888889,0.23015873015873012,0.23529411764705876,0.38164893617021284
White,0.28,0.27820512820512816,,0.3591954022988506,0.3536821705426356,0.3395061728395061,0.2708333333333333,0.2282608695652174,0.25406504065040647,0.2023809523809523,0.36848072562358275,0.2916666666666666,0.3055555555555556,0.25,0.3235294117647059,0.36746453900709214
