,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.21,0.16538461538461538,,0.19731800766283525,0.17926356589147288,0.19212962962962962,0.0625,0.09782608695652174,0.06707317073170732,0.023809523809523808,0.17772108843537415,0.08928571428571429,0.125,0.11904761904761904,0.04411764705882353,0.17553191489361702
African American,0.13,0.2076923076923077,,0.1781609195402299,0.187984496124031,0.22743055555555555,0.109375,0.11956521739130435,0.07926829268292683,0.05952380952380952,0.18197278911564627,0.125,0.11666666666666667,0.07142857142857142,0.07352941176470588,0.20611702127659576
Alaskan,0.17,0.16538461538461538,,0.26436781609195403,0.28391472868217055,0.2743055555555556,0.140625,0.15217391304347827,0.07317073170731707,0.07142857142857142,0.233843537414966,0.11607142857142858,0.25,0.13095238095238096,0.07352941176470588,0.24867021276595744
Arab,0.14,0.1,,0.27873563218390807,0.187984496124031,0.22106481481481483,0.0625,0.11956521739130435,0.06707317073170732,0.07142857142857142,0.20068027210884354,0.22321428571428573,0.11666666666666667,0.03571428571428571,0.1323529411764706,0.19680851063829788
Asian,0.06,0.1,,0.16379310344827586,0.25,0.19212962962962962,0.109375,0.03260869565217391,0.04878048780487805,0.08333333333333333,0.15476190476190477,0.11607142857142858,0.09166666666666666,0.16666666666666666,0.08823529411764706,0.19680851063829788
Black,0.13,0.16538461538461538,,0.18199233716475097,0.2248062015503876,0.22280092592592593,0.09375,0.13043478260869565,0.10365853658536585,0.05952380952380952,0.19047619047619047,0.08928571428571429,0.1,0.13095238095238096,0.08823529411764706,0.19281914893617022
Caucasian,0.11,0.11538461538461539,,0.1810344827586207,0.19767441860465115,0.1840277777777778,0.265625,0.21739130434782608,0.11585365853658537,0.08333333333333333,0.1879251700680272,0.125,0.15,0.13095238095238096,0.07352941176470588,0.20079787234042554
European,0.11,0.10384615384615385,,0.20306513409961685,0.23449612403100775,0.203125,0.078125,0.31521739130434784,0.0975609756097561,0.09523809523809523,0.20153061224489796,0.16071428571428573,0.14166666666666666,0.03571428571428571,0.1323529411764706,0.22340425531914893
Hispanic,0.13,0.09615384615384616,,0.19636015325670497,0.16472868217054262,0.19270833333333334,0.140625,0.16304347826086957,0.10975609756097561,0.05952380952380952,0.24319727891156462,0.08928571428571429,0.125,0.07142857142857142,0.10294117647058823,0.18351063829787234
Jewish,0.09,0.1,,0.19827586206896552,0.19089147286821706,0.17939814814814814,0.1875,0.09782608695652174,0.10975609756097561,0.15476190476190477,0.1836734693877551,0.125,0.09166666666666666,0.08333333333333333,0.1323529411764706,0.21409574468085107
Latino,0.17,0.12692307692307692,,0.1752873563218391,0.187015503875969,0.1863425925925926,0.078125,0.11956521739130435,0.08536585365853659,0.13095238095238096,0.26105442176870747,0.14285714285714285,0.10833333333333334,0.15476190476190477,0.17647058823529413,0.16622340425531915
Middle Eastern,0.12,0.12307692307692308,,0.25287356321839083,0.20833333333333334,0.19270833333333334,0.09375,0.15217391304347827,0.06097560975609756,0.05952380952380952,0.17772108843537415,0.2767857142857143,0.125,0.10714285714285714,0.058823529411764705,0.18882978723404256
Native American,0.22,0.13076923076923078,,0.20019157088122605,0.22577519379844962,0.25636574074074076,0.109375,0.20652173913043478,0.07926829268292683,0.05952380952380952,0.22363945578231292,0.16964285714285715,0.26666666666666666,0.10714285714285714,0.058823529411764705,0.22872340425531915
Roma,0.16,0.15,,0.23180076628352492,0.2180232558139535,0.2337962962962963,0.09375,0.18478260869565216,0.09146341463414634,0.07142857142857142,0.20918367346938777,0.08928571428571429,0.175,0.16666666666666666,0.08823529411764706,0.2047872340425532
South American,0.14,0.1076923076923077,,0.2231800766283525,0.2189922480620155,0.2621527777777778,0.09375,0.13043478260869565,0.09146341463414634,0.13095238095238096,0.31887755102040816,0.09821428571428571,0.175,0.10714285714285714,0.36764705882352944,0.22074468085106383
White,0.13,0.08461538461538462,,0.1743295019157088,0.17151162790697674,0.19039351851851852,0.109375,0.14130434782608695,0.04878048780487805,0.11904761904761904,0.18452380952380953,0.10714285714285714,0.08333333333333333,0.14285714285714285,0.20588235294117646,0.18617021276595744
