,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.15,0.019230769230769232,,0.034482758620689655,0.05910852713178295,0.0005787037037037037,0.0,-0.06521739130434782,-0.06097560975609756,-0.047619047619047616,0.017857142857142856,-0.0625,-0.03333333333333333,-0.047619047619047616,-0.014705882352941176,0.030585106382978722
African American,-0.01,0.019230769230769232,,-0.0009578544061302681,-0.03875968992248062,0.03414351851851852,0.171875,-0.07608695652173914,-0.04878048780487805,0.023809523809523808,0.07993197278911565,-0.008928571428571428,0.075,0.047619047619047616,-0.19117647058823528,-0.017287234042553192
Alaskan,0.07,-0.011538461538461539,,0.0210727969348659,0.013565891472868217,0.02546296296296296,0.015625,-0.05434782608695652,0.04878048780487805,0.08333333333333333,0.047619047619047616,0.08928571428571429,-0.025,0.05952380952380952,0.10294117647058823,0.06515957446808511
Arab,-0.06,-0.015384615384615385,,0.10344827586206896,0.04263565891472868,0.0011574074074074073,0.03125,-0.06521739130434782,0.006097560975609756,0.08333333333333333,0.01445578231292517,0.16964285714285715,-0.008333333333333333,0.023809523809523808,0.16176470588235295,0.047872340425531915
Asian,-0.04,0.023076923076923078,,0.011494252873563218,0.08527131782945736,-0.01678240740740741,0.0,-0.03260869565217391,-0.03048780487804878,0.047619047619047616,-0.002551020408163265,-0.017857142857142856,0.15833333333333333,-0.047619047619047616,-0.058823529411764705,0.07579787234042554
Black,0.06,-0.08846153846153847,,-0.006704980842911878,0.011627906976744186,0.06365740740740741,0.0625,0.05434782608695652,-0.012195121951219513,-0.023809523809523808,-0.0008503401360544217,-0.026785714285714284,0.008333333333333333,0.047619047619047616,-0.11764705882352941,0.022606382978723406
Caucasian,-0.01,0.023076923076923078,,-0.032567049808429116,0.05135658914728682,0.00636574074074074,0.03125,0.06521739130434782,-0.012195121951219513,0.03571428571428571,-0.012755102040816327,0.11607142857142858,-0.05,0.0,-0.04411764705882353,0.05053191489361702
European,-0.04,0.0,,0.01532567049808429,0.016472868217054265,0.048032407407407406,0.140625,0.15217391304347827,0.036585365853658534,0.07142857142857142,0.015306122448979591,0.026785714285714284,-0.058333333333333334,-0.011904761904761904,0.08823529411764706,0.08643617021276596
Hispanic,-0.05,0.011538461538461539,,0.031609195402298854,-0.05329457364341085,0.015046296296296295,0.109375,-0.06521739130434782,0.07317073170731707,-0.07142857142857142,0.11139455782312925,-0.08928571428571429,0.075,0.05952380952380952,-0.17647058823529413,0.017287234042553192
Jewish,0.0,-0.023076923076923078,,0.06226053639846743,0.02616279069767442,0.0028935185185185184,0.140625,-0.09782608695652174,0.036585365853658534,0.21428571428571427,0.03826530612244898,-0.03571428571428571,-0.09166666666666666,-0.05952380952380952,0.25,0.015957446808510637
Latino,-0.01,-0.026923076923076925,,0.039272030651340994,-0.0048449612403100775,-0.005208333333333333,0.015625,-0.03260869565217391,0.054878048780487805,0.05952380952380952,0.1096938775510204,0.09821428571428571,-0.03333333333333333,0.16666666666666666,0.07352941176470588,0.02526595744680851
Middle Eastern,0.03,-0.019230769230769232,,0.0603448275862069,-0.0009689922480620155,0.03414351851851852,0.109375,0.021739130434782608,0.04878048780487805,-0.09523809523809523,0.01870748299319728,0.15178571428571427,0.008333333333333333,0.0,-0.04411764705882353,-0.0398936170212766
Native American,0.06,0.015384615384615385,,0.03065134099616858,0.014534883720930232,0.06944444444444445,0.203125,0.021739130434782608,-0.018292682926829267,-0.03571428571428571,-0.00510204081632653,-0.05357142857142857,0.13333333333333333,0.03571428571428571,-0.029411764705882353,0.057180851063829786
Roma,-0.08,0.05,,-0.022030651340996167,0.04941860465116279,0.03009259259259259,0.0625,0.09782608695652174,0.04878048780487805,0.07142857142857142,0.045068027210884355,-0.017857142857142856,0.03333333333333333,-0.10714285714285714,0.07352941176470588,0.06382978723404255
South American,0.07,0.011538461538461539,,0.03639846743295019,0.035852713178294575,0.011574074074074073,-0.09375,0.03260869565217391,0.054878048780487805,0.10714285714285714,0.13690476190476192,-0.10714285714285714,0.041666666666666664,0.05952380952380952,0.04411764705882353,-0.05452127659574468
White,-0.01,-0.011538461538461539,,-0.04310344827586207,-0.006782945736434108,0.030671296296296297,0.140625,0.13043478260869565,0.06707317073170732,0.09523809523809523,0.022108843537414966,0.0,-0.06666666666666667,0.08333333333333333,0.0,0.0425531914893617
