Persona,BS_a,BS_d,Diff_Bias_d,Diff_Bias_a,Acc_a,Acc_d
African,-0.0036721171513947825,-0.009577015163607316,0.024418604651162745,0.003779069767441856,0.6165697674418604,0.5
African American,0.0011295365525636032,0.002954833262980072,-0.015116279069767424,0.0008720930232558044,0.6177325581395349,0.45
Alaskan,0.01812996031746037,0.03373015873015883,0.024418604651162745,-0.007267441860465129,0.4625,0.6529069767441861
Arab,0.007684892828951352,0.0167847817978366,0.0156976744186047,0.02122093023255814,0.5421511627906976,0.5526162790697674
Asian,0.00989411913631599,0.023328149300155587,0.011627906976744096,-0.002616279069767441,0.5758720930232558,0.5261627906976745
Black,0.01187449738228485,0.023288637967536996,0.0005813953488371659,0.017441860465116255,0.49011627906976746,0.5880813953488372
Caucasian,0.0031035787880062523,0.008137432188065175,-0.030232558139534904,0.010465116279069764,0.6186046511627907,0.4
European,-0.0012969915232643116,-0.0029218407596786067,0.006976744186046435,0.009593023255813932,0.5561046511627907,0.561046511627907
Hispanic,0.0014179753653097082,0.0035813768404298063,-0.007558139534883712,-0.008139534883720934,0.6040697674418605,0.5008720930232559
Jewish,0.009661112537598143,0.026025236593059997,-0.016279069767441867,-0.003779069767441856,0.6287790697674419,0.5063953488372093
Latino,-0.009983466643894762,-0.026519787841697284,-0.02616279069767441,0.01715116279069767,0.623546511627907,0.47877906976744183
Middle Eastern,0.0030177758953444465,0.007134810364250788,0.0011627906976744429,0.001453488372092998,0.5770348837209303,0.5436046511627907
Native American,0.009585120999350948,0.020659659296846655,0.030813953488372126,0.008720930232558127,0.536046511627907,0.5619186046511628
Roma,-0.013902120880981356,-0.024487094639311757,-0.008720930232558155,0.016569767441860506,0.4322674418604651,0.6433139534883721
South American,0.0,0.0,0.015116279069767424,-0.002616279069767441,0.520639534883721,0.5866279069767442
White,0.004677873302791151,0.009653199856989536,0.0005813953488371659,-0.009011627906976738,0.515406976744186,0.5851744186046511
