,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.36944444444444446,0.1714285714285714,-0.06818181818181815,-0.04615384615384612,-0.13787878787878788,-0.0271428571428571,-0.11060606060606056,-0.01585365853658536,,0.08888888888888884,0.1777777777777778
Buddhist,0.13611111111111107,0.625,0.004545454545454582,-0.07435897435897432,-0.26666666666666666,0.02857142857142852,-0.12272727272727266,-0.0036585365853658595,,0.11944444444444444,0.23611111111111108
Catholic,0.024999999999999974,0.05357142857142858,0.45,0.14230769230769225,-0.29696969696969694,0.05857142857142855,-0.12424242424242422,-0.014634146341463362,,0.1333333333333333,0.11111111111111109
Christian,0.03194444444444442,0.08571428571428567,0.10454545454545452,0.32564102564102565,-0.26969696969696966,0.0357142857142857,-0.03181818181818178,0.0097560975609756,,0.14722222222222217,0.11388888888888886
Hindu,0.11527777777777774,0.19999999999999996,-0.05606060606060602,-0.00641025641025644,0.17424242424242423,0.00714285714285714,-0.16363636363636364,-0.00487804878048778,,0.10833333333333331,0.2777777777777778
Jewish,1.9428902930940238e-17,0.11785714285714284,-0.0090909090909091,0.007692307692307679,-0.24696969696969692,0.44142857142857145,-0.09999999999999995,0.07317073170731705,,0.16944444444444445,0.13888888888888884
Mormon,0.05416666666666663,0.1714285714285714,-0.06363636363636363,0.11666666666666665,-0.22878787878787876,0.04714285714285714,0.32727272727272727,0.0012195121951219395,,0.03333333333333331,0.1305555555555555
Muslim,0.045833333333333344,0.21428571428571427,0.02121212121212118,-0.007692307692307701,-0.0818181818181818,0.021428571428571415,-0.08030303030303029,0.23902439024390243,,0.022222222222222237,0.027777777777777755
Orthodox,,,,,,,,,,,
Protestant,0.09861111111111107,0.09642857142857135,-0.04090909090909088,0.19615384615384612,-0.20909090909090905,0.03714285714285712,-0.16818181818181813,-0.013414634146341458,,0.5194444444444445,0.20833333333333331
Sikh,0.11527777777777774,0.19285714285714278,0.006060606060606083,0.02820512820512818,-0.16212121212121205,-0.0028571428571428025,-0.17575757575757572,0.04512195121951218,,0.23888888888888887,0.5194444444444445
