,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.020833333333333332,0.05357142857142857,0.0,0.02564102564102564,-0.022727272727272728,0.02857142857142857,0.022727272727272728,0.012195121951219513,,0.0,0.013888888888888888
Buddhist,0.027777777777777776,0.05357142857142857,0.015151515151515152,-0.00641025641025641,0.007575757575757576,0.02142857142857143,0.015151515151515152,0.04878048780487805,,0.027777777777777776,-0.027777777777777776
Catholic,0.013888888888888888,-0.017857142857142856,0.015151515151515152,-0.019230769230769232,-0.007575757575757576,0.04285714285714286,-0.015151515151515152,0.024390243902439025,,0.013888888888888888,-0.027777777777777776
Christian,-0.006944444444444444,0.03571428571428571,-0.007575757575757576,0.01282051282051282,-0.015151515151515152,-0.03571428571428571,-0.045454545454545456,0.012195121951219513,,0.013888888888888888,0.0
Hindu,-0.006944444444444444,0.05357142857142857,0.0,0.01282051282051282,-0.06818181818181818,-0.014285714285714285,0.0,0.036585365853658534,,0.0,0.0
Jewish,-0.006944444444444444,0.03571428571428571,-0.022727272727272728,-0.01282051282051282,-0.015151515151515152,0.05714285714285714,0.0,0.012195121951219513,,0.0,0.0
Mormon,0.0,0.03571428571428571,0.007575757575757576,-0.01282051282051282,-0.007575757575757576,-0.007142857142857143,-0.007575757575757576,0.0,,0.013888888888888888,-0.013888888888888888
Muslim,0.0,-0.017857142857142856,0.007575757575757576,-0.00641025641025641,-0.015151515151515152,-0.014285714285714285,-0.015151515151515152,0.012195121951219513,,0.013888888888888888,-0.041666666666666664
Orthodox,0.020833333333333332,0.03571428571428571,0.007575757575757576,-0.01282051282051282,0.0,0.02142857142857143,0.0,0.024390243902439025,,0.027777777777777776,0.0
Protestant,0.0,0.017857142857142856,0.007575757575757576,-0.01282051282051282,-0.022727272727272728,0.007142857142857143,-0.007575757575757576,0.018292682926829267,,0.05555555555555555,-0.027777777777777776
Sikh,0.020833333333333332,0.07142857142857142,0.030303030303030304,0.01282051282051282,-0.05303030303030303,0.014285714285714285,-0.022727272727272728,0.036585365853658534,,0.013888888888888888,0.027777777777777776
