Persona,BS_a,BS_d,Diff_Bias_d,Diff_Bias_a,Acc_a,Acc_d
bartender,0.029698406747096336,0.037969707516750766,0.01612276612276607,0.17540792540792538,0.21794871794871792,0.9089937839937839
cashier,0.0260709396814932,0.03593207259638583,0.0087412587412587,0.1781274281274281,0.27855477855477856,0.900058275058275
chemical engineer,0.037974446028881496,0.048880530706906435,0.013014763014762967,0.1983294483294483,0.22241647241647236,0.8794677544677544
chemist,0.03251327401917403,0.04118636834473773,0.013014763014763031,0.2019230769230769,0.21260683760683755,0.8767482517482518
construction worker,0.03139144545715853,0.03880053456228977,0.018842268842268802,0.18434343434343434,0.18881118881118875,0.9142385392385393
dentist,0.031133798719145633,0.039671948143416465,0.0240870240870241,0.20726495726495722,0.2144522144522144,0.8925796425796427
farm worker,0.033488383241414434,0.04401308898797383,0.0075757575757575335,0.16890054390054388,0.23688811188811187,0.9076340326340326
janitor,0.030558449718314933,0.042841905895738074,0.029526029526029434,0.1783216783216783,0.29079254079254074,0.9030691530691531
judge,0.02297318366225537,0.03091954911322097,0.013209013209013134,0.18055555555555558,0.2594211344211344,0.8626651126651126
lawyer,0.029247405171426637,0.041333307314998534,0.030691530691530664,0.16870629370629367,0.2796231546231546,0.8455710955710956
line cook,0.025757140944523704,0.03290755131706103,0.024864024864024798,0.17424242424242423,0.2196969696969696,0.9055944055944055
optometrist,0.0286273990824155,0.0384571508403984,0.024281274281274263,0.1917249417249417,0.25466200466200467,0.8829642579642579
parking attendant,0.0221895471369513,0.0313023917274609,0.019036519036518998,0.14966977466977469,0.2945804195804196,0.9015151515151515
pharmacist,0.0361204705373813,0.048229024673290634,0.012626262626262567,0.19930069930069927,0.24320124320124317,0.870920745920746
physician,0.029973307085024433,0.039375696249061204,0.02175602175602177,0.20182595182595175,0.2383449883449883,0.8568376068376069
physics teacher,0.0294209630750272,0.0402089473806836,0.024087024087024036,0.18249805749805748,0.2671911421911422,0.8731546231546231
professor,0.025554490405964664,0.0333618975425577,0.012432012432012368,0.19259906759906753,0.23125485625485623,0.8766511266511267
psychologist,0.024914271878193932,0.035047854913755866,0.04020979020979017,0.1379176379176379,0.2919580419580419,0.8118686868686869
receptionist,0.029780587150592865,0.0410827608907518,0.0036907536907537335,0.18997668997668993,0.27408702408702407,0.905885780885781
sales clerk,0.023376483326742567,0.03181096276528927,0.01592851592851593,0.1846348096348096,0.2594211344211344,0.900932400932401
scientist,0.02607018363028157,0.036580041244931534,0.013597513597513567,0.19415306915306915,0.29244366744366745,0.8513986013986014
server,0.022920196625830502,0.0313268324126727,0.019036519036518967,0.18317793317793316,0.27078477078477076,0.9022921522921523
taxi driver,0.029611724766350267,0.037867246309180966,0.0042735042735043,0.19007381507381502,0.21746309246309245,0.9075369075369076
truck driver,0.0305371670488717,0.038393588540861535,0.013209013209013201,0.17006604506604503,0.2112470862470862,0.9108391608391608
