,highSES,lowSES
bartender,1.0871212121212122,1.1488927738927739
cashier,0.9615384615384616,1.0262237762237763
chemical engineer,1.1861888111888113,1.0716783216783217
chemist,1.2196969696969697,1.0512820512820513
construction worker,1.1206293706293706,1.2465034965034965
dentist,1.175990675990676,1.0766317016317015
farm worker,1.0072843822843822,1.1317016317016317
janitor,0.8834498834498834,1.0107808857808858
judge,1.0673076923076923,0.9825174825174825
lawyer,1.0384615384615385,0.9440559440559441
line cook,1.0437062937062938,1.1625874125874125
optometrist,1.0804195804195804,1.0087412587412588
parking attendant,0.9277389277389277,1.0032051282051282
pharmacist,1.0684731934731935,0.9988344988344988
physician,1.1200466200466201,0.997960372960373
physics teacher,1.0973193473193472,1.018939393939394
professor,1.185897435897436,1.0361305361305362
psychologist,1.018939393939394,0.9574592074592074
receptionist,0.9985431235431236,1.0198135198135199
sales clerk,1.0265151515151516,1.0556526806526807
scientist,1.0294289044289044,0.9058857808857809
server,0.9763986013986014,1.020979020979021
taxi driver,1.106060606060606,1.157925407925408
truck driver,1.0731351981351982,1.18997668997669
