Persona,BS_a,BS_d,Diff_Bias_d,Diff_Bias_a,Acc_a,Acc_d
bartender,0.027670700747623816,0.03712503712503712,0.026806526806526842,0.16317016317016314,0.25466200466200467,0.9143356643356644
cashier,0.019921449566669042,0.030066145520144305,0.01864801864801857,0.16783216783216784,0.3374125874125874,0.8997668997668997
chemical engineer,0.040463568689375104,0.053763440860215006,0.007575757575757569,0.18793706293706292,0.24737762237762237,0.8901515151515151
chemist,0.02630652750484981,0.034751348112642244,0.010489510489510523,0.20687645687645684,0.243006993006993,0.8828671328671329
construction worker,0.03652549231184246,0.04629080118694362,0.022727272727272707,0.17016317016317017,0.21095571095571095,0.9175407925407926
dentist,0.029945575258075317,0.03988095238095246,0.0174825174825175,0.2263986013986014,0.2491258741258741,0.9026806526806527
farm worker,0.033992881181786706,0.04767616191904045,0.01631701631701632,0.15879953379953382,0.287004662004662,0.9096736596736597
janitor,0.025210572851226198,0.03992740471869327,0.04428904428904423,0.1477272727272727,0.3685897435897436,0.9026806526806527
judge,0.018691414968010772,0.02735562310030404,0.012820512820512886,0.1681235431235431,0.3167249417249417,0.8764568764568764
lawyer,0.03882506297147948,0.0587511534912335,0.027389277389277322,0.15442890442890445,0.33916083916083917,0.8458624708624709
line cook,0.022058525357865563,0.029994001199760145,0.03613053613053607,0.15326340326340326,0.26456876456876455,0.9085081585081585
optometrist,0.028504634495073757,0.04093217806991345,0.022727272727272818,0.17832167832167833,0.30361305361305363,0.8953962703962703
parking attendant,0.018679023515782957,0.0290205562273278,0.02447552447552448,0.12092074592074592,0.3563519813519814,0.9020979020979021
pharmacist,0.03488859253664405,0.05062902730899044,0.0034965034965035446,0.1896853146853147,0.3108974358974359,0.87004662004662
physician,0.02413497343432674,0.03418540190945496,0.0,0.19026806526806528,0.293997668997669,0.8484848484848485
physics teacher,0.030322513307587902,0.04298507462686563,0.026806526806526842,0.18152680652680653,0.2945804195804196,0.8857808857808858
professor,0.022861740197670607,0.030866047347917203,0.0017482517482517723,0.17715617715617715,0.25932400932400934,0.8884032634032634
psychologist,0.0162641762382695,0.024687595245352023,0.03554778554778559,0.12150349650349651,0.3412004662004662,0.8155594405594405
receptionist,0.028444606368144557,0.04227886056971508,-0.0011655011655010705,0.1751165501165501,0.3272144522144522,0.9067599067599068
sales clerk,0.026398653757144397,0.03803533992213248,0.014568764568764547,0.17074592074592077,0.30594405594405594,0.9093822843822844
scientist,0.020709000266844038,0.03210175651120539,0.004662004662004726,0.17074592074592077,0.3548951048951049,0.8560606060606061
server,0.018964999646817877,0.028484848484848557,0.027972027972027913,0.15297202797202797,0.3342074592074592,0.9026806526806527
taxi driver,0.030060852742184514,0.039833531510107045,0.009324009324009341,0.16317016317016314,0.24533799533799533,0.912004662004662
truck driver,0.017480959325879127,0.02317290552584672,0.013403263403263477,0.15588578088578087,0.24562937062937062,0.9163752913752914
