,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.52,0.5115384615384615,,0.5086206896551724,0.4641472868217054,0.49189814814814814,0.46875,0.44565217391304346,0.32926829268292684,0.35714285714285715,0.5119047619047619,0.5089285714285714,0.4666666666666667,0.4166666666666667,0.4411764705882353,0.4574468085106383
African American,0.4,0.5269230769230769,,0.48659003831417624,0.45445736434108525,0.4976851851851852,0.421875,0.3804347826086957,0.3597560975609756,0.4523809523809524,0.4914965986394558,0.38392857142857145,0.31666666666666665,0.5357142857142857,0.38235294117647056,0.4800531914893617
Alaskan,0.31,0.5307692307692308,,0.49233716475095785,0.5155038759689923,0.5069444444444444,0.421875,0.5,0.39634146341463417,0.44047619047619047,0.5331632653061225,0.45535714285714285,0.4083333333333333,0.5,0.4264705882352941,0.4933510638297872
Arab,0.39,0.4807692307692308,,0.5220306513409961,0.4622093023255814,0.5034722222222222,0.4375,0.42391304347826086,0.36585365853658536,0.38095238095238093,0.5204081632653061,0.48214285714285715,0.475,0.5714285714285714,0.4852941176470588,0.5093085106382979
Asian,0.41,0.4269230769230769,,0.49616858237547895,0.501937984496124,0.4652777777777778,0.5,0.3804347826086957,0.47560975609756095,0.2976190476190476,0.5025510204081632,0.45535714285714285,0.425,0.47619047619047616,0.5,0.449468085106383
Black,0.47,0.4653846153846154,,0.4932950191570881,0.4757751937984496,0.5121527777777778,0.390625,0.44565217391304346,0.36585365853658536,0.47619047619047616,0.516156462585034,0.3392857142857143,0.43333333333333335,0.5833333333333334,0.3382352941176471,0.4747340425531915
Caucasian,0.35,0.45,,0.5114942528735632,0.4331395348837209,0.47800925925925924,0.46875,0.34782608695652173,0.3475609756097561,0.4642857142857143,0.5187074829931972,0.5357142857142857,0.43333333333333335,0.34523809523809523,0.4852941176470588,0.4587765957446808
European,0.44,0.4307692307692308,,0.5363984674329502,0.4806201550387597,0.5121527777777778,0.359375,0.5108695652173914,0.36585365853658536,0.47619047619047616,0.5212585034013606,0.44642857142857145,0.375,0.5119047619047619,0.36764705882352944,0.5452127659574468
Hispanic,0.47,0.45,,0.49808429118773945,0.42248062015503873,0.4878472222222222,0.359375,0.31521739130434784,0.3231707317073171,0.4523809523809524,0.5331632653061225,0.4107142857142857,0.36666666666666664,0.42857142857142855,0.38235294117647056,0.4720744680851064
Jewish,0.42,0.47692307692307695,,0.49616858237547895,0.4806201550387597,0.4722222222222222,0.46875,0.40217391304347827,0.31097560975609756,0.5357142857142857,0.5102040816326531,0.45535714285714285,0.425,0.42857142857142855,0.47058823529411764,0.4454787234042553
Latino,0.42,0.46923076923076923,,0.5028735632183908,0.44573643410852715,0.48032407407407407,0.46875,0.33695652173913043,0.43902439024390244,0.3333333333333333,0.5391156462585034,0.48214285714285715,0.44166666666666665,0.47619047619047616,0.4411764705882353,0.5079787234042553
Middle Eastern,0.41,0.47307692307692306,,0.5584291187739464,0.44670542635658916,0.45601851851851855,0.4375,0.358695652173913,0.3780487804878049,0.38095238095238093,0.4957482993197279,0.4017857142857143,0.4166666666666667,0.5,0.5,0.4375
Native American,0.38,0.4346153846153846,,0.5220306513409961,0.49224806201550386,0.5081018518518519,0.296875,0.43478260869565216,0.4329268292682927,0.44047619047619047,0.5127551020408163,0.45535714285714285,0.425,0.4880952380952381,0.4411764705882353,0.4574468085106383
Roma,0.36,0.47307692307692306,,0.5306513409961686,0.4941860465116279,0.5167824074074074,0.609375,0.358695652173913,0.36585365853658536,0.38095238095238093,0.5314625850340136,0.41964285714285715,0.4,0.4880952380952381,0.4411764705882353,0.5
South American,0.42,0.4346153846153846,,0.5373563218390804,0.5232558139534884,0.5422453703703703,0.546875,0.5108695652173914,0.4024390243902439,0.5,0.5612244897959183,0.44642857142857145,0.45,0.5595238095238095,0.4411764705882353,0.4920212765957447
White,0.35,0.4307692307692308,,0.4703065134099617,0.4418604651162791,0.46296296296296297,0.375,0.532608695652174,0.39634146341463417,0.5,0.5,0.4642857142857143,0.44166666666666665,0.39285714285714285,0.36764705882352944,0.42021276595744683
