,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,1.026388888888889,0.9285714285714285,0.959090909090909,0.8717948717948719,0.9636363636363636,0.917142857142857,0.9666666666666666,0.8158536585365853,,0.7999999999999999,0.8638888888888889
Buddhist,0.9166666666666667,1.282142857142857,0.9363636363636363,0.9012820512820513,0.943939393939394,0.9171428571428573,0.9606060606060606,0.8158536585365853,,0.8444444444444444,0.888888888888889
Catholic,0.8847222222222222,1.0428571428571431,1.159090909090909,1.028205128205128,0.9772727272727273,0.9528571428571428,1.0121212121212122,0.8585365853658538,,0.9333333333333333,0.9777777777777776
Christian,0.8819444444444444,1.1107142857142858,1.0090909090909093,1.1025641025641026,1.0106060606060603,0.9357142857142857,1.0939393939393942,0.8975609756097562,,0.8638888888888889,0.9805555555555555
Hindu,0.8069444444444445,1.0714285714285716,0.9939393939393938,0.9230769230769231,1.046969696969697,0.9442857142857143,0.9787878787878788,0.8378048780487806,,0.8305555555555555,0.9083333333333334
Jewish,0.8666666666666666,0.9571428571428573,0.9,0.8884615384615385,0.8757575757575757,0.9671428571428571,0.9969696969696971,0.8329268292682928,,0.7527777777777778,0.9833333333333334
Mormon,0.9069444444444444,1.1035714285714284,1.040909090909091,1.0461538461538462,0.9712121212121213,1.012857142857143,1.1681818181818182,0.8780487804878048,,0.913888888888889,0.9972222222222221
Muslim,0.8666666666666668,1.0357142857142858,0.8939393939393939,0.8717948717948719,0.9454545454545453,0.8957142857142857,0.9681818181818181,0.902439024390244,,0.7722222222222223,0.913888888888889
Orthodox,,,,,,,,,,,
Protestant,0.8916666666666666,1.0285714285714285,1.003030303030303,1.064102564102564,0.9545454545454545,0.9385714285714286,1.0333333333333332,0.8560975609756097,,1.0833333333333333,0.9361111111111111
Sikh,0.8319444444444445,1.1249999999999998,0.9484848484848485,0.9602564102564102,0.9409090909090908,0.9285714285714286,0.9818181818181817,0.8951219512195122,,0.8444444444444444,1.011111111111111
