,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.5222222222222223,0.5178571428571428,0.46818181818181814,0.4564102564102564,0.44545454545454544,0.4928571428571429,0.4424242424242424,0.4353658536585366,,0.43888888888888894,0.4805555555555555
Buddhist,0.525,0.625,0.4348484848484849,0.41538461538461535,0.5242424242424242,0.4614285714285714,0.4333333333333333,0.39024390243902435,,0.43611111111111106,0.40555555555555556
Catholic,0.5138888888888888,0.5392857142857144,0.4833333333333333,0.4615384615384615,0.5257575757575758,0.5285714285714286,0.4712121212121212,0.4609756097560975,,0.425,0.5111111111111111
Christian,0.49861111111111117,0.5357142857142858,0.5075757575757576,0.5012820512820513,0.5227272727272726,0.5,0.49393939393939396,0.4475609756097561,,0.46111111111111114,0.5361111111111111
Hindu,0.4458333333333333,0.49285714285714277,0.4787878787878788,0.42948717948717946,0.5227272727272727,0.46571428571428575,0.44393939393939397,0.4378048780487805,,0.39722222222222225,0.4444444444444445
Jewish,0.4375,0.4214285714285714,0.43636363636363634,0.4435897435897436,0.4833333333333333,0.5185714285714286,0.4712121212121212,0.3939024390243902,,0.4527777777777778,0.4444444444444445
Mormon,0.5583333333333333,0.44642857142857134,0.47575757575757577,0.4871794871794871,0.5575757575757576,0.5385714285714286,0.543939393939394,0.4585365853658536,,0.5083333333333334,0.43888888888888894
Muslim,0.45138888888888884,0.45357142857142857,0.41969696969696973,0.40512820512820513,0.43939393939393934,0.4542857142857143,0.45757575757575764,0.4560975609756097,,0.3944444444444445,0.41944444444444445
Orthodox,,,,,,,,,,,
Protestant,0.5416666666666667,0.5142857142857143,0.49393939393939396,0.4282051282051282,0.5166666666666666,0.49714285714285716,0.48484848484848475,0.4512195121951219,,0.5416666666666666,0.47777777777777775
Sikh,0.45555555555555555,0.4928571428571429,0.4,0.43589743589743585,0.537878787878788,0.48571428571428577,0.4333333333333333,0.4853658536585366,,0.3888888888888889,0.5083333333333333
