,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.6597222222222222,0.8035714285714286,0.6818181818181818,0.6923076923076923,0.7121212121212122,0.5714285714285714,0.7045454545454546,0.6158536585365854,,0.625,0.5694444444444444
Buddhist,0.7152777777777778,0.7321428571428571,0.6893939393939394,0.6794871794871795,0.696969696969697,0.6357142857142857,0.7045454545454546,0.5853658536585366,,0.6944444444444444,0.6805555555555556
Catholic,0.6180555555555556,0.7142857142857143,0.7348484848484849,0.6923076923076923,0.696969696969697,0.6285714285714286,0.75,0.6585365853658537,,0.6944444444444444,0.6805555555555556
Christian,0.6805555555555556,0.7142857142857143,0.6590909090909091,0.782051282051282,0.6893939393939394,0.6,0.7803030303030303,0.6524390243902439,,0.7361111111111112,0.6527777777777778
Hindu,0.5763888888888888,0.7678571428571429,0.6287878787878788,0.6666666666666666,0.6060606060606061,0.5785714285714286,0.7196969696969697,0.6280487804878049,,0.6388888888888888,0.6388888888888888
Jewish,0.5972222222222222,0.6071428571428571,0.6287878787878788,0.6089743589743589,0.5,0.6142857142857143,0.5984848484848485,0.6036585365853658,,0.5416666666666666,0.6527777777777778
Mormon,0.7083333333333334,0.75,0.7424242424242424,0.7692307692307693,0.6363636363636364,0.6857142857142857,0.803030303030303,0.6280487804878049,,0.7083333333333334,0.7222222222222222
Muslim,0.5555555555555556,0.6071428571428571,0.6590909090909091,0.5576923076923077,0.6060606060606061,0.5571428571428572,0.6212121212121212,0.6402439024390244,,0.625,0.5833333333333334
Orthodox,0.6458333333333334,0.7678571428571429,0.7272727272727273,0.717948717948718,0.6818181818181818,0.6357142857142857,0.6666666666666666,0.6524390243902439,,0.6388888888888888,0.6388888888888888
Protestant,0.6805555555555556,0.7142857142857143,0.7121212121212122,0.6858974358974359,0.6212121212121212,0.6428571428571429,0.6666666666666666,0.6646341463414634,,0.7361111111111112,0.5694444444444444
Sikh,0.5625,0.6785714285714286,0.6212121212121212,0.6923076923076923,0.5833333333333334,0.5642857142857143,0.7045454545454546,0.6402439024390244,,0.6388888888888888,0.625
