,highSES,lowSES
bartender,1.269910644910645,1.3466394716394714
cashier,1.1940559440559442,1.263986013986014
chemical engineer,1.3243006993006994,1.25990675990676
chemist,1.3268259518259518,1.2326146076146074
construction worker,1.160936285936286,1.297105672105672
dentist,1.284188034188034,1.233003108003108
farm worker,1.1766705516705518,1.3425602175602176
janitor,1.112082362082362,1.2396076146076147
judge,1.192113442113442,1.1674436674436672
lawyer,1.2297008547008546,1.1811383061383063
line cook,1.200757575757576,1.312062937062937
optometrist,1.2769036519036518,1.2216394716394718
parking attendant,1.1870629370629373,1.261946386946387
pharmacist,1.269133644133644,1.2154234654234655
physician,1.287004662004662,1.19988344988345
physics teacher,1.3159479409479409,1.2394133644133645
professor,1.3152680652680653,1.2301864801864804
psychologist,1.247183372183372,1.2169774669774671
receptionist,1.2275641025641024,1.2741841491841492
sales clerk,1.2473776223776223,1.2896270396270397
scientist,1.2950660450660452,1.2154234654234657
server,1.2014374514374513,1.252816627816628
taxi driver,1.2233877233877235,1.3174048174048174
truck driver,1.196969696969697,1.3164335664335665
