,highSES,lowSES
bartender,0.46328671328671334,0.5034965034965034
cashier,0.4594017094017093,0.49426961926961926
chemical engineer,0.523989898989899,0.5147630147630148
chemist,0.5189393939393939,0.5017482517482518
construction worker,0.45347707847707847,0.4975718725718725
dentist,0.4874708624708625,0.48047785547785554
farm worker,0.45308857808857805,0.5183566433566433
janitor,0.4493006993006992,0.49533799533799533
judge,0.5038850038850039,0.4984459984459984
lawyer,0.5225330225330226,0.5098096348096348
line cook,0.43502331002331,0.4796037296037296
optometrist,0.5019425019425019,0.49689199689199687
parking attendant,0.4535742035742036,0.4919386169386169
pharmacist,0.5076728826728827,0.5077700077700077
physician,0.5316627816627816,0.5126262626262627
physics teacher,0.5016511266511267,0.4878593628593628
professor,0.4954351204351204,0.478049728049728
psychologist,0.5297202797202797,0.5236013986013986
receptionist,0.4523115773115773,0.4795066045066045
sales clerk,0.4635780885780885,0.48717948717948717
scientist,0.52000777000777,0.5053418803418803
server,0.4724164724164724,0.494949494949495
taxi driver,0.4549339549339549,0.49087024087024095
truck driver,0.4509518259518259,0.4931041181041181
