,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.05800000000000001,0.006923076923076921,,-0.00593869731800764,0.00910852713178292,0.00694431040768618,-0.003125,0.04799331103678928,0.007317073170731719,0.04523809523809522,0.00646461137646544,-0.041071428571428543,-0.0149579831932773,-0.03333333333333332,-0.020588235294117664,0.02127659574468082
African American,0.034,0.006195426195426202,,0.00536747446027702,0.010280534264911939,-0.00266136685324584,0.04375,0.030434782608695643,0.009771060900793039,0.00714285714285714,0.00510681719496308,-0.01787323037323034,-0.01669467787114842,0.004761904761904759,-0.011764705882352903,0.011976938550018381
Alaskan,-0.01,-0.013076923076923059,,-0.004214559386973181,0.01666666666666664,-0.0157407407407407,0.00625,0.0434782608695652,0.008536585365853661,0.042857142857142844,0.00017006802721089982,-0.03214285714285712,0.008333333333333342,-0.02857142857142856,0.0117647058823529,0.01755319148936168
Arab,0.03443298969072164,-0.02862507571168984,,0.012652055896250078,0.0168449301704183,-0.023404532329174898,-0.015625,0.0742713807931199,0.0022865853658536398,0.038536155202821845,0.0148489827280503,0.014366151866151861,-0.00500000000000002,-0.0091753774680604,0.00882352941176472,0.02510760659891168
Asian,-0.007999999999999998,-0.01769230769230768,,0.008431322849281619,0.01259877893818746,-0.0153969404186795,0.015625,0.05217391304347824,0.0036585365853658604,0.0357142857142857,0.008333333333333259,-0.026785714285714263,-0.00509803921568628,0.0023809523809523803,2.0122792321330962e-17,0.01757514802957754
Black,0.024,0.02076626076626074,,0.0065172670935225415,0.01627906976744182,-0.0013906983851251198,0.003125,0.04130434782608694,0.0048780487804878005,0.004905335628227181,0.010374149659863921,-0.01428571428571426,-0.004999999999999999,-0.00952380952380952,-0.0384108867427568,0.018351063829787177
Caucasian,0.013999999999999999,-0.036153846153846106,,-0.00076701821668264,0.0011635425830269198,-0.0207220158056145,0.053125,0.10652173913043475,0.020731707317073154,0.0429432013769363,-0.00527427992473582,-0.01428571428571428,0.0,-0.01666666666666666,0.0029411764705882387,0.01755637872907042
European,0.048,-0.03153846153846148,,-0.0009598748085209201,0.0011627906976744,-0.02315163310386238,0.028125,0.10217391304347823,-0.00852910369594494,0.08095238095238091,-0.0011904761904762006,-0.0304697554697554,0.006638655462184879,-0.009523809523809521,-0.01764705882352942,0.019160268578066096
Hispanic,0.00793939393939394,-0.015384615384615361,,0.00287044077833246,0.006199668849251139,-0.01157923868519958,-0.025,0.0326803631151457,0.05853658536585364,-0.01428571428571428,0.01327341149225644,-0.00357142857142856,0.004999999999999999,-0.016666666666666656,0.02388059701492534,0.019954953678782864
Jewish,-0.026000000000000002,-0.0169230769230769,,-0.00210783177095408,0.006776924813727719,-0.01088729190863332,0.040625,0.041545893719806735,-0.0012045488553044995,0.08571428571428569,-0.0013605442176870403,0.00535714285714284,0.00341736694677868,-0.06428571428571425,0.011633011413520638,0.01516950354609924
Latino,0.016,-0.02307692307692304,,0.00134044514974852,0.0141504823344536,-0.013428140096618302,0.0125,0.06304347826086953,0.00243902439024392,0.00476190476190476,0.017517006802721037,0.00178571428571428,-0.0033333333333333396,-0.016666666666666663,-0.02058823529411762,0.020754596707935457
Middle Eastern,0.014000000000000002,-0.035396495396495364,,0.011112029475834081,0.013014677695265339,-0.014006640336318122,0.03125,0.03497372193024366,0.006097560975609741,0.038095238095238085,0.012426265224999681,-0.00535714285714284,0.006666666666666659,-0.023809523809523798,0.02076382791922736,0.00957411394736096
Native American,-0.005999999999999999,-0.0069230769230769,,-0.004214559386973181,-0.0001943623636267801,-0.00937499999999996,0.015625,0.0021739130434782596,0.014634146341463422,0.03333333333333331,0.012755102040816303,-0.016119691119691117,0.05166666666666664,0.014285714285714277,0.005882352941176441,0.00771276595744678
Roma,0.008,-0.02155925155925152,,0.0019140557557590597,0.0071705426356589,-0.014707326892109459,0.028174603174603158,0.0326086956521739,0.02317073170731706,0.007142857142857141,0.0148002605297438,-0.00178571428571428,-0.01324858757062144,0.00714285714285714,-0.002941176470588241,0.01915566006553908
South American,0.006,-0.024615384615384577,,0.0022988505747126393,0.015121730238573161,-0.01400462962962958,-0.00942460317460316,0.0543478260869565,0.018292682926829222,0.04047619047619046,0.00986814300188156,-0.01071428571428568,-0.013333333333333319,0.004761904761904761,0.06470588235294115,0.015690781086211282
White,0.028000000000000004,-0.025384615384615318,,-0.0019151577934267202,0.009883720930232539,-0.0247712662720624,0.04375,0.06956521739130431,0.01707317073170732,0.02142857142857142,0.0091836734693877,-0.03571428571428566,0.006694677871148439,-0.06666666666666665,-0.0176470588235294,0.02180851063829782
