,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
African,0.01,-0.019230769230769232,,0.009578544061302681,0.01065891472868217,-0.0011580775911986102,0.0625,0.06521739130434782,0.006097560975609756,0.10714285714285714,0.011914893617021277,-0.0625,-0.05,-0.011904761904761904,0.014705882352941176,0.018617021276595744
African American,0.02,-0.011538461538461539,,0.009587727708533078,0.007759456838021339,-0.005787037037037037,0.078125,0.05434782608695652,0.006097560975609756,0.023809523809523808,0.011914893617021277,-0.026785714285714284,-0.025,-0.03571428571428571,0.04411764705882353,0.014647137150466045
Alaskan,0.0,0.0,,0.0009578544061302681,0.01937984496124031,-0.02546296296296296,0.015625,0.08695652173913043,0.024390243902439025,0.05952380952380952,0.01020408163265306,0.0,-0.025,-0.023809523809523808,0.029411764705882353,0.010638297872340425
Arab,0.01,-0.026923076923076925,,0.009578544061302681,0.009689922480620155,-0.024319629415170817,0.046875,0.09782608695652174,0.0,0.11904761904761904,0.010212765957446808,-0.017857142857142856,0.008333333333333333,-0.03571428571428571,-0.014705882352941176,0.02526595744680851
Asian,-0.02,0.015384615384615385,,0.009578544061302681,0.007759456838021339,-0.011574074074074073,0.046875,0.043478260869565216,-0.024390243902439025,0.08333333333333333,0.002551020408163265,-0.044642857142857144,-0.041666666666666664,0.0,0.0,0.018641810918774968
Black,0.01,0.011538461538461539,,0.006704980842911878,0.007751937984496124,0.011574074074074073,-0.015625,0.0,-0.03048780487804878,0.011904761904761904,0.0008503401360544217,0.0,0.016666666666666666,0.0,0.0,0.009308510638297872
Caucasian,0.06,-0.007692307692307693,,-0.0009578544061302681,0.013565891472868217,-0.017939814814814815,-0.046875,0.03260869565217391,-0.03048780487804878,0.047619047619047616,0.0,0.008928571428571428,-0.03333333333333333,0.011904761904761904,0.029411764705882353,0.0026595744680851063
European,0.03,-0.007692307692307693,,0.004789272030651341,0.007751937984496124,-0.01678240740740741,0.078125,0.043478260869565216,-0.024390243902439025,0.08333333333333333,0.00510204081632653,-0.026785714285714284,0.0,-0.023809523809523808,-0.014705882352941176,0.023936170212765957
Hispanic,0.0,-0.023076923076923078,,0.008620689655172414,0.012596899224806201,-0.010416666666666666,0.09375,0.03260869565217391,0.054878048780487805,-0.05952380952380952,0.008503401360544218,-0.008928571428571428,-0.016666666666666666,0.011904761904761904,0.0,0.011968085106382979
Jewish,-0.02,0.0038461538461538464,,-0.0038314176245210726,0.013565891472868217,-0.017361111111111112,0.015625,0.07608695652173914,0.012195121951219513,0.023809523809523808,-0.006802721088435374,0.026785714285714284,0.016666666666666666,-0.08333333333333333,0.029411764705882353,0.02526595744680851
Latino,-0.01,0.0038461538461538464,,0.006704980842911878,0.020348837209302327,-0.008680555555555556,0.015625,0.043478260869565216,-0.006097560975609756,0.0,0.015306122448979591,0.008928571428571428,0.016666666666666666,-0.047619047619047616,-0.058823529411764705,0.018617021276595744
Middle Eastern,0.05,-0.046153846153846156,,0.009578544061302681,0.003875968992248062,-0.020833333333333332,0.109375,0.021739130434782608,0.012195121951219513,0.047619047619047616,0.012755102040816327,-0.017857142857142856,0.0,0.0,0.029411764705882353,0.010638297872340425
Native American,0.02,-0.015384615384615385,,0.008620689655172414,0.014534883720930232,-0.018518518518518517,0.046875,0.03260869565217391,0.018292682926829267,0.047619047619047616,-0.002551020408163265,-0.008928571428571428,0.025,-0.011904761904761904,0.07352941176470588,0.010638297872340425
Roma,0.02,-0.007692307692307693,,0.006704980842911878,-0.001937984496124031,-0.01678240740740741,-0.03125,0.010869565217391304,0.03048780487804878,0.0,0.016156462585034014,0.008928571428571428,0.0,-0.023809523809523808,0.0,0.02127659574468085
South American,0.04,0.05384615384615385,,0.011494252873563218,0.009689922480620155,-0.02199074074074074,-0.03125,0.03260869565217391,0.018292682926829267,0.03571428571428571,0.01870748299319728,-0.008928571428571428,-0.058333333333333334,0.011904761904761904,0.04411764705882353,0.022606382978723406
White,0.01,-0.03461538461538462,,0.011505273250239693,-0.0048449612403100775,-0.02374059061957151,0.0625,0.07608695652173914,-0.006097560975609756,0.09523809523809523,0.00510204081632653,-0.026785714285714284,0.0,-0.047619047619047616,-0.029411764705882353,0.013297872340425532
