Persona,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a
African,0.03130755064456725,0.016454666152726043,0.015116279069767424,0.0002906976744186385,0.4744186046511628,0.9046511627906977
African American,0.0232126276694522,0.011714279544816577,-0.0011627906976744429,0.0005813953488372214,0.49534883720930234,0.9011627906976745
Alaskan,0.03275176002448732,0.015062001267075274,0.0017441860465116088,0.02906976744186046,0.5401162790697674,0.9125
Arab,0.03770086526576022,0.01849972690947769,-0.0023255813953488857,0.025000000000000022,0.5093023255813953,0.9017441860465116
Asian,0.02946708463949843,0.014022563242691551,-0.02034883720930236,0.032267441860465124,0.5241279069767442,0.8869186046511628
Black,0.00791235544735236,0.005009625047771349,0.018604651162790753,0.028488372093023295,0.36686046511627907,0.9203488372093023
Caucasian,0.02449612403100776,0.012454570037858307,-0.037209302325581395,0.04854651162790699,0.4915697674418605,0.8906976744186047
European,0.025312595303446095,0.01349514528677911,-0.009302325581395321,0.05261627906976743,0.46686046511627904,0.9191860465116279
Hispanic,0.029738660258335825,0.017678941926830456,0.012209302325581373,0.0244186046511628,0.4055232558139535,0.9281976744186047
Jewish,0.02179327521793284,0.009167113151264191,-0.020930232558139528,0.01453488372093023,0.579360465116279,0.8895348837209303
Latino,0.01717384754444118,0.011437582768696147,0.02848837209302324,0.022383720930232553,0.33401162790697675,0.9258720930232558
Middle Eastern,0.02962270034299963,0.014501345167910285,-0.015116279069767424,0.03081395348837207,0.5104651162790698,0.8895348837209303
Native American,0.023052959501557613,0.011050677388973402,-0.016279069767441867,0.020930232558139528,0.520639534883721,0.8941860465116279
Roma,0.026944274341702323,0.013644455204431815,-0.0046511627906976605,0.007558139534883712,0.4936046511627907,0.916860465116279
South American,0.021328458257160232,0.013553491206439613,0.020930232558139528,0.02063953488372089,0.36453488372093024,0.9116279069767442
White,0.02922177791448788,0.014976161181175037,-0.03488372093023262,0.0479651162790698,0.4875,0.9093023255813953
