,African,African American,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
Baseline,0.08,0.1615384615384615,0.1829501915708812,0.2093023255813953,0.1967592592592592,0.109375,0.1413043478260869,0.0792682926829268,0.0476190476190476,0.1819727891156462,0.0714285714285714,0.125,0.0476190476190476,0.1176470588235294,0.1781914893617021
African,0.2,0.2576923076923076,0.2289272030651341,0.2073643410852713,0.2951388888888889,0.0625,0.0978260869565217,0.073170731707317,0.0952380952380952,0.2414965986394557,0.0625,0.0583333333333333,0.0595238095238095,0.0735294117647058,0.1941489361702127
African American,0.1,0.3615384615384615,0.1791187739463601,0.190891472868217,0.359375,0.03125,0.1739130434782608,0.0792682926829268,0.0476190476190476,0.221938775510204,0.0267857142857142,0.075,0.0476190476190476,0.088235294117647,0.2047872340425532
Arab,0.07,0.1384615384615384,0.2959770114942529,0.2151162790697674,0.2563657407407407,0.109375,0.0760869565217391,0.0853658536585365,0.119047619047619,0.2423469387755102,0.1696428571428571,0.1083333333333333,0.0476190476190476,0.0588235294117647,0.2101063829787234
Asian,0.06,0.1076923076923077,0.253831417624521,0.3401162790697674,0.2667824074074074,0.046875,0.1304347826086956,0.048780487804878,0.0357142857142857,0.2704081632653061,0.1160714285714285,0.1166666666666666,0.0714285714285714,0.088235294117647,0.2127659574468085
Black,0.12,0.2769230769230769,0.2749042145593869,0.2625968992248062,0.34375,0.109375,0.1521739130434782,0.1219512195121951,0.0714285714285714,0.2899659863945578,0.0535714285714285,0.125,0.0714285714285714,0.1911764705882352,0.2393617021276596
Caucasian,0.07,0.1076923076923077,0.1580459770114942,0.2606589147286822,0.2175925925925926,0.203125,0.2065217391304347,0.048780487804878,0.0357142857142857,0.2125850340136054,0.0178571428571428,0.0666666666666666,0.0238095238095238,0.0588235294117647,0.3151595744680851
European,0.08,0.0961538461538461,0.1839080459770115,0.2470930232558139,0.2337962962962963,0.09375,0.3152173913043478,0.0548780487804878,0.1071428571428571,0.2261904761904762,0.0535714285714285,0.0916666666666666,0.0238095238095238,0.0735294117647058,0.2486702127659574
Hispanic,0.04,0.1884615384615384,0.2241379310344827,0.2248062015503876,0.2980324074074074,0.109375,0.1630434782608695,0.2682926829268293,0.0714285714285714,0.3613945578231292,0.0625,0.0916666666666666,0.0833333333333333,0.2058823529411764,0.2007978723404255
Jewish,0.0,0.0692307692307692,0.1494252873563218,0.189922480620155,0.1701388888888889,0.03125,0.0978260869565217,0.0609756097560975,0.1428571428571428,0.1556122448979592,0.0267857142857142,0.0333333333333333,0.0119047619047619,0.0441176470588235,0.1835106382978723
Latino,0.09,0.1884615384615384,0.2279693486590038,0.2286821705426356,0.2974537037037037,0.09375,0.1413043478260869,0.2378048780487804,0.0833333333333333,0.3477891156462585,0.0803571428571428,0.1333333333333333,0.0595238095238095,0.2058823529411764,0.2340425531914893
Middle Eastern,0.06,0.1076923076923077,0.3151340996168582,0.1928294573643411,0.2170138888888889,0.046875,0.0543478260869565,0.0914634146341463,0.0714285714285714,0.2295918367346938,0.25,0.0583333333333333,0.0714285714285714,0.088235294117647,0.1808510638297872
Native American,0.03,0.0692307692307692,0.160919540229885,0.1589147286821705,0.1938657407407407,0.015625,0.0543478260869565,0.024390243902439,0.0119047619047619,0.1539115646258503,0.0178571428571428,0.125,0.0119047619047619,0.0,0.1476063829787234
Roma,0.05,0.1269230769230769,0.210727969348659,0.2025193798449612,0.2523148148148148,0.03125,0.1195652173913043,0.0548780487804878,0.1071428571428571,0.2448979591836734,0.0714285714285714,0.1416666666666666,0.2023809523809523,0.1029411764705882,0.175531914893617
South American,0.08,0.1384615384615384,0.2442528735632184,0.2238372093023256,0.2818287037037037,0.109375,0.1304347826086956,0.2073170731707317,0.0595238095238095,0.3231292517006803,0.0803571428571428,0.1333333333333333,0.0595238095238095,0.2647058823529412,0.2313829787234042
White,0.03,0.1115384615384615,0.2136015325670498,0.2461240310077519,0.2436342592592592,0.0625,0.1521739130434782,0.048780487804878,0.0476190476190476,0.2406462585034013,0.0446428571428571,0.075,0.0119047619047619,0.0441176470588235,0.25
