,African,African American,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
Baseline,0.0,-0.0115384615384615,-0.0172413793103448,0.0310077519379844,-0.0237268518518518,0.09375,0.0108695652173913,0.024390243902439,0.0476190476190476,0.0042517006802721,-0.0803571428571428,-0.0916666666666666,-0.0119047619047619,-0.0441176470588235,0.0452127659574468
African,-0.01,-0.0115384615384615,0.0,0.0222868217054263,-0.0243055555555555,0.0,0.0543478260869565,0.0060975609756097,0.0,0.0042517006802721,-0.0267857142857142,-0.05,0.0119047619047619,0.0441176470588235,0.0226063829787234
African American,-0.1,0.0576923076923076,-0.0363984674329501,-0.002906976744186,0.0196759259259259,-0.046875,0.0760869565217391,0.0,-0.0119047619047619,0.0017006802721088,-0.0089285714285714,-0.0333333333333333,-0.0714285714285714,0.0441176470588235,0.0066489361702127
Arab,-0.04,-0.0076923076923076,0.0277777777777777,0.0387596899224806,-0.0422453703703703,-0.078125,-0.0652173913043478,0.0,0.0,0.0127551020408163,0.0178571428571428,-0.0416666666666666,0.0357142857142857,0.1029411764705882,-0.0013297872340425
Asian,0.02,-0.0615384615384615,-0.0076628352490421,0.0397286821705426,-0.0480324074074074,0.0625,0.0652173913043478,-0.0060975609756097,-0.0357142857142857,-0.0034013605442176,-0.0089285714285714,-0.05,-0.0119047619047619,0.0441176470588235,0.089095744680851
Black,0.0,-0.0192307692307692,-0.0766283524904214,0.063953488372093,-0.0335648148148148,0.109375,0.0217391304347826,-0.024390243902439,0.0,0.0246598639455782,-0.0357142857142857,-0.0416666666666666,0.0119047619047619,0.0735294117647058,0.0611702127659574
Caucasian,0.01,-0.05,-0.0718390804597701,0.0523255813953488,-0.0283564814814814,0.1875,0.1739130434782608,-0.0060975609756097,-0.0238095238095238,0.0025510204081632,-0.0267857142857142,-0.025,-0.0119047619047619,0.1029411764705882,0.0718085106382978
European,0.03,-0.0461538461538461,-0.0545977011494252,0.0707364341085271,-0.0596064814814814,0.09375,0.1847826086956521,-0.0060975609756097,0.0952380952380952,0.0331632653061224,-0.0892857142857142,-0.0583333333333333,-0.0238095238095238,0.1176470588235294,0.050531914893617
Hispanic,0.02,-0.05,-0.0411877394636015,0.0067829457364341,-0.0457175925925925,-0.046875,-0.0217391304347826,0.0914634146341463,-0.0238095238095238,0.0756802721088435,-0.0446428571428571,-0.05,0.0595238095238095,0.1323529411764706,0.0345744680851063
Jewish,-0.02,-0.0115384615384615,-0.0172413793103448,0.0174418604651162,-0.0005787037037037,0.078125,0.0,0.0121951219512195,0.119047619047619,-0.0195578231292517,-0.0267857142857142,-0.0166666666666666,-0.0119047619047619,-0.0147058823529411,0.0252659574468085
Latino,0.04,-0.05,-0.0249042145593869,-0.0087209302325581,-0.0283564814814814,0.03125,-0.0434782608695652,0.0548780487804878,-0.0476190476190476,0.0442176870748299,-0.1160714285714285,-0.0083333333333333,-0.0357142857142857,0.1176470588235294,0.0625
Middle Eastern,0.02,-0.0346153846153846,0.0727969348659003,-0.0242248062015503,-0.0341435185185185,0.03125,-0.0326086956521739,0.0060975609756097,-0.0238095238095238,-0.0204081632653061,0.0357142857142857,-0.0416666666666666,0.0,0.1323529411764706,0.0438829787234042
Native American,0.0,-0.0076923076923076,-0.0210727969348659,0.0213178294573643,0.0011574074074074,-0.03125,-0.0217391304347826,-0.0365853658536585,0.0,0.0059523809523809,-0.0089285714285714,0.0666666666666666,-0.0119047619047619,0.0294117647058823,-0.0066489361702127
Roma,0.04,-0.0538461538461538,-0.0162835249042145,0.0426356589147286,-0.0162037037037037,0.046875,0.0760869565217391,-0.0365853658536585,0.0833333333333333,-0.0068027210884353,-0.0892857142857142,-0.025,0.0714285714285714,0.0441176470588235,0.0159574468085106
South American,0.04,-0.05,-0.0258620689655172,0.0222868217054263,-0.0243055555555555,0.078125,0.0217391304347826,0.0426829268292682,-0.1309523809523809,0.0459183673469387,-0.0357142857142857,-0.075,0.0,0.1470588235294117,0.0013297872340425
White,0.04,-0.0346153846153846,-0.0565134099616858,0.0242248062015503,-0.0208333333333333,0.078125,0.0543478260869565,-0.0121951219512195,0.0833333333333333,0.0059523809523809,-0.0357142857142857,-0.025,0.0238095238095238,0.0441176470588235,0.0731382978723404
