,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
Baseline,0.03,0.0,,0.0086206896551724,0.001937984496124,-0.0046296296296296,-0.0625,0.0543478260869565,0.024390243902439,0.0,0.0042517006802721,-0.0089285714285714,-0.0166666666666666,-0.0476190476190476,0.0,0.0079787234042553
African,0.02,-0.023076923076923,,0.0047892720306513,0.0184108527131782,0.0046296296296296,0.03125,0.0652173913043478,-0.0060975609756097,-0.0119047619047619,-0.0008503401360544,0.0,-0.0166666666666666,0.0595238095238095,-0.0735294117647058,0.0106382978723404
African American,0.06,0.023076923076923,,-0.0019157088122605,0.0164728682170542,-0.0011574074074074,-0.015625,0.0326086956521739,-0.0060975609756097,0.0119047619047619,-0.0008503401360544,-0.0178571428571428,-0.0333333333333333,-0.0714285714285714,0.0,0.0239361702127659
Alaskan,0.01,-0.0269230769230769,,0.0047892720306513,0.0125968992248062,-0.0190972222222222,0.03125,0.0869565217391304,0.0,0.0357142857142857,0.0008503401360544,0.0,0.0083333333333333,-0.0476190476190476,0.0588235294117647,0.0226063829787234
Arab,0.03,-0.0384615384615384,,0.0229885057471264,0.0096899224806201,-0.0300925925925925,0.015625,0.0217391304347826,0.0426829268292682,0.0357142857142857,0.0042517006802721,0.0178571428571428,0.0166666666666666,0.0119047619047619,0.0,0.0398936170212766
Asian,0.04,-0.0538461538461538,,0.0114942528735632,0.0125968992248062,-0.0109953703703703,0.046875,0.0108695652173913,-0.0060975609756097,0.0476190476190476,0.0017006802721088,-0.0178571428571428,0.025,-0.0357142857142857,0.0588235294117647,0.0226063829787234
Black,0.04,0.0115384615384615,,0.0067049808429118,0.0106589147286821,-0.0081018518518518,0.03125,0.0760869565217391,0.024390243902439,0.0595238095238095,0.0,-0.0178571428571428,-0.0166666666666666,0.0,0.0294117647058823,0.0186170212765957
Caucasian,0.03,-0.0346153846153846,,0.0009578544061302,-0.0135658914728682,-0.0104166666666666,0.09375,0.1413043478260869,0.0426829268292682,0.0595238095238095,-0.0034013605442176,0.0089285714285714,0.0,-0.0595238095238095,-0.0735294117647058,0.0132978723404255
European,0.02,-0.0538461538461538,,-0.003831417624521,0.0155038759689922,-0.015625,0.015625,0.0760869565217391,-0.048780487804878,0.1428571428571428,0.0119047619047619,-0.0267857142857142,0.0333333333333333,0.0357142857142857,0.0147058823529411,-0.0013297872340425
Hispanic,0.0,0.0192307692307692,,0.0114942528735632,0.0087209302325581,-0.0127314814814814,-0.0625,0.0,0.0548780487804878,0.0,-0.0051020408163265,-0.0178571428571428,0.0,-0.0238095238095238,0.0147058823529411,0.0305851063829787
Jewish,-0.03,-0.0115384615384615,,0.0095785440613026,0.0281007751937984,-0.005787037037037,0.03125,-0.0108695652173913,-0.0304878048780487,0.1071428571428571,-0.0068027210884353,0.0,0.05,-0.0357142857142857,-0.0441176470588235,0.0172872340425531
Latino,0.01,0.0,,-0.0019157088122605,0.003875968992248,-0.015625,-0.09375,0.0760869565217391,-0.0182926829268292,0.0119047619047619,0.0238095238095238,0.0089285714285714,-0.0083333333333333,0.0,0.0147058823529411,0.0119680851063829
Middle Eastern,0.02,-0.0115384615384615,,0.0067049808429118,0.0135658914728682,-0.0162037037037037,0.015625,0.0434782608695652,0.0060975609756097,0.0357142857142857,0.0008503401360544,0.0357142857142857,0.0166666666666666,-0.0595238095238095,0.0147058823529411,0.0199468085106383
Native American,-0.03,0.0038461538461538,,-0.0086206896551724,-0.003875968992248,-0.0086805555555555,0.03125,0.0,-0.0426829268292682,0.0714285714285714,0.0178571428571428,-0.0625,0.1333333333333333,0.0238095238095238,0.0147058823529411,0.0212765957446808
Roma,0.03,-0.0346153846153846,,0.0086206896551724,0.0155038759689922,-0.0127314814814814,0.109375,0.0217391304347826,-0.0182926829268292,0.0833333333333333,0.0204081632653061,0.0357142857142857,-0.0416666666666666,0.0,-0.0441176470588235,0.0026595744680851
South American,0.02,-0.0576923076923076,,0.003831417624521,0.0116279069767441,-0.0046296296296296,-0.015625,0.0652173913043478,0.0365853658536585,0.0595238095238095,0.0085034013605442,-0.0267857142857142,-0.0166666666666666,0.0238095238095238,0.1176470588235294,0.0119680851063829
White,0.01,-0.0153846153846153,,0.0009578544061302,0.0125968992248062,-0.0243055555555555,0.03125,0.0217391304347826,0.0548780487804878,-0.0238095238095238,0.0034013605442176,-0.0089285714285714,0.0166666666666666,-0.0952380952380952,-0.0147058823529411,0.0345744680851063
