,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
Baseline,-0.07,-0.0153846153846153,,0.0076628352490421,0.0455426356589147,-0.0225694444444444,-0.046875,0.1739130434782608,-0.1036585365853658,0.0595238095238095,0.016156462585034,-0.0714285714285714,-0.1,0.0119047619047619,0.0,0.0797872340425532
African,0.5,0.15,,0.0651340996168582,0.0087209302325581,0.0810185185185185,0.046875,-0.0543478260869565,-0.0060975609756097,0.0,0.0382653061224489,-0.1428571428571428,-0.0916666666666666,0.0833333333333333,-0.0294117647058823,-0.050531914893617
African American,0.02,0.1884615384615384,,0.0277777777777777,-0.0067829457364341,0.0914351851851851,0.0,0.0760869565217391,-0.0670731707317073,0.0595238095238095,0.0306122448979591,-0.1160714285714285,0.0083333333333333,-0.0238095238095238,-0.0147058823529411,0.0359042553191489
Alaskan,-0.06,-0.0346153846153846,,0.0124521072796934,0.0523255813953488,0.0364583333333333,0.0625,-0.0652173913043478,-0.024390243902439,0.1071428571428571,0.0561224489795918,-0.0892857142857142,0.1666666666666666,0.0833333333333333,0.0588235294117647,0.0571808510638297
Arab,0.07,-0.0423076923076923,,0.2480842911877394,-0.0310077519379844,-0.0596064814814814,-0.0625,0.0543478260869565,-0.0792682926829268,0.1666666666666666,0.0960884353741496,0.1875,-0.125,0.0595238095238095,0.0294117647058823,0.0119680851063829
Asian,0.03,-0.0615384615384615,,0.0526819923371647,0.1434108527131783,-0.0353009259259259,0.046875,0.0978260869565217,0.0792682926829268,0.1904761904761904,0.0238095238095238,0.0089285714285714,-0.075,0.0,-0.0441176470588235,0.0957446808510638
Black,-0.02,0.1653846153846153,,0.0344827586206896,0.003875968992248,-0.0023148148148148,0.125,-0.0326086956521739,0.0060975609756097,-0.0952380952380952,0.0068027210884353,-0.1875,0.0,0.0,-0.1323529411764706,0.0704787234042553
Caucasian,-0.04,-0.1153846153846153,,-0.0459770114942528,0.1211240310077519,-0.0341435185185185,0.546875,0.3804347826086957,-0.0060975609756097,0.0833333333333333,0.048469387755102,-0.0892857142857142,-0.0666666666666666,-0.0238095238095238,0.1029411764705882,0.2792553191489361
European,-0.03,-0.0538461538461538,,0.0507662835249042,0.0755813953488372,-0.03125,0.203125,0.5108695652173914,-0.0914634146341463,0.2023809523809523,0.0314625850340136,-0.0267857142857142,-0.0166666666666666,0.0833333333333333,0.2647058823529412,0.163563829787234
Hispanic,-0.05,0.0269230769230769,,0.003831417624521,0.005813953488372,0.005787037037037,-0.078125,-0.1195652173913043,0.2378048780487804,0.0714285714285714,0.189625850340136,-0.0178571428571428,-0.075,-0.0476190476190476,0.0294117647058823,0.0917553191489361
Jewish,0.06,-0.0576923076923076,,0.0344827586206896,0.0552325581395348,0.005787037037037,0.109375,0.1521739130434782,0.0182926829268292,0.3571428571428571,0.1003401360544217,-0.0446428571428571,0.0,0.0476190476190476,-0.0735294117647058,0.0851063829787234
Latino,0.05,-0.0269230769230769,,-0.0306513409961685,0.0406976744186046,0.0023148148148148,0.015625,-0.0326086956521739,0.2439024390243902,-0.0952380952380952,0.2083333333333333,-0.1071428571428571,0.0166666666666666,0.0119047619047619,0.0294117647058823,0.0571808510638297
Middle Eastern,-0.04,-0.0807692307692307,,0.1704980842911877,0.0,-0.005787037037037,-0.015625,0.0978260869565217,0.0304878048780487,0.0714285714285714,0.0578231292517006,0.2678571428571428,-0.0583333333333333,0.1309523809523809,0.0,0.0172872340425531
Native American,0.0,-0.05,,0.0469348659003831,-0.0319767441860465,0.0457175925925925,0.03125,0.0,-0.0182926829268292,0.0119047619047619,0.0578231292517006,-0.0892857142857142,0.35,0.1071428571428571,0.0147058823529411,-0.0026595744680851
Roma,0.06,-0.123076923076923,,-0.0019157088122605,0.0484496124031007,0.0324074074074074,0.109375,-0.0543478260869565,0.0792682926829268,0.0357142857142857,0.0493197278911564,0.0446428571428571,0.0,0.238095238095238,0.0441176470588235,0.0545212765957446
South American,-0.02,-0.0692307692307692,,-0.0047892720306513,-0.0067829457364341,0.0260416666666666,0.03125,0.0760869565217391,0.1951219512195122,0.0476190476190476,0.1930272108843537,-0.0178571428571428,0.075,0.0952380952380952,0.4705882352941176,0.0305851063829787
White,-0.05,-0.0153846153846153,,-0.0316091954022988,0.125,-0.0092592592592592,0.015625,0.3478260869565217,0.024390243902439,0.1071428571428571,0.0408163265306122,0.0535714285714285,0.0,-0.0357142857142857,-0.1323529411764706,0.175531914893617
