,African,African American,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
Baseline,0.01,0.0307692307692307,0.0067049808429118,0.0125968992248062,0.015625,0.015625,0.0217391304347826,0.0060975609756097,0.0238095238095238,0.0059523809523809,0.0,0.025,0.0,0.0,0.0079787234042553
African,0.09,0.1,0.0191570881226053,0.0261627906976744,0.042824074074074,0.015625,0.0543478260869565,0.0304878048780487,0.0119047619047619,0.0238095238095238,0.0446428571428571,0.0166666666666666,0.0476190476190476,0.0588235294117647,0.0212765957446808
African American,0.06,0.0884615384615384,0.0134099616858237,0.0213178294573643,0.0422453703703703,0.0,0.0434782608695652,0.0365853658536585,0.0476190476190476,0.0221088435374149,0.0089285714285714,0.05,0.0357142857142857,0.0,0.0172872340425531
Arab,0.03,0.0269230769230769,0.0277777777777777,0.0203488372093023,0.0381944444444444,0.0,0.0217391304347826,0.0182926829268292,0.0714285714285714,0.0238095238095238,0.0446428571428571,0.025,0.0833333333333333,0.0147058823529411,0.0226063829787234
Asian,0.05,0.05,0.0153256704980842,0.0203488372093023,0.0347222222222222,0.046875,0.0326086956521739,0.0182926829268292,0.0357142857142857,0.0272108843537414,0.0,0.0416666666666666,0.0476190476190476,0.0294117647058823,0.0172872340425531
Black,0.07,0.0807692307692307,0.0191570881226053,0.0397286821705426,0.0457175925925925,0.015625,0.0543478260869565,0.0609756097560975,0.0357142857142857,0.0272108843537414,0.0089285714285714,0.0916666666666666,0.0476190476190476,0.0294117647058823,0.0239361702127659
Caucasian,0.07,0.0538461538461538,0.0258620689655172,0.0610465116279069,0.0578703703703703,0.15625,0.0869565217391304,0.0548780487804878,0.0833333333333333,0.0416666666666666,0.0357142857142857,0.0833333333333333,0.0238095238095238,0.0294117647058823,0.0704787234042553
European,0.1,0.05,0.0249042145593869,0.0416666666666666,0.0341435185185185,0.0625,0.1630434782608695,0.0548780487804878,0.0595238095238095,0.0433673469387755,0.0446428571428571,0.05,0.0595238095238095,0.0588235294117647,0.0319148936170212
Hispanic,0.05,0.0538461538461538,0.0134099616858237,0.0145348837209302,0.0300925925925925,0.0,0.0543478260869565,0.024390243902439,0.0119047619047619,0.0289115646258503,0.0,0.0333333333333333,0.0238095238095238,0.0441176470588235,0.0186170212765957
Jewish,0.04,0.0423076923076923,0.0172413793103448,0.0281007751937984,0.0295138888888888,0.03125,0.0326086956521739,0.0304878048780487,0.0238095238095238,0.0255102040816326,0.0089285714285714,0.05,0.0238095238095238,0.0441176470588235,0.0332446808510638
Latino,0.03,0.05,0.0095785440613026,0.0145348837209302,0.03125,0.015625,0.0543478260869565,0.0304878048780487,0.0119047619047619,0.0289115646258503,0.0,0.0333333333333333,0.0238095238095238,0.0588235294117647,0.0226063829787234
Middle Eastern,0.04,0.0346153846153846,0.018199233716475,0.0184108527131782,0.0329861111111111,0.0625,0.0326086956521739,0.0121951219512195,0.0595238095238095,0.0229591836734693,0.0803571428571428,0.0166666666666666,0.0238095238095238,0.0147058823529411,0.0132978723404255
Native American,0.02,0.0384615384615384,0.0210727969348659,0.0184108527131782,0.0329861111111111,0.0,0.0326086956521739,0.0121951219512195,0.0357142857142857,0.0246598639455782,0.0178571428571428,0.0583333333333333,0.0,0.0294117647058823,0.0252659574468085
Roma,0.02,0.023076923076923,0.0153256704980842,0.0377906976744186,0.0353009259259259,0.0,0.0434782608695652,0.0365853658536585,0.0476190476190476,0.032312925170068,0.0089285714285714,0.0416666666666666,0.0357142857142857,0.0735294117647058,0.0212765957446808
South American,0.01,0.0346153846153846,0.0229885057471264,0.0261627906976744,0.03125,0.03125,0.0326086956521739,0.0609756097560975,0.0357142857142857,0.0442176870748299,0.0267857142857142,0.0583333333333333,0.0595238095238095,0.1029411764705882,0.026595744680851
White,0.05,0.0346153846153846,0.0124521072796934,0.0300387596899224,0.0422453703703703,0.0625,0.0760869565217391,0.0182926829268292,0.0476190476190476,0.0255102040816326,0.0535714285714285,0.075,0.0595238095238095,0.0588235294117647,0.0438829787234042
