,African,African American,Alaskan,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
Baseline,0.04,0.0692307692307692,,0.0220306513409961,0.0348837209302325,0.0451388888888888,0.046875,0.0652173913043478,0.0365853658536585,0.0714285714285714,0.0144557823129251,0.0446428571428571,0.0666666666666666,0.0238095238095238,0.0441176470588235,0.0252659574468085
African,0.21,0.2307692307692307,,0.0526819923371647,0.0872093023255814,0.1105324074074074,0.140625,0.217391304347826,0.1036585365853658,0.119047619047619,0.0739795918367346,0.1428571428571428,0.0833333333333333,0.2023809523809523,0.2647058823529412,0.0797872340425532
African American,0.21,0.1961538461538461,,0.0440613026819923,0.0736434108527131,0.1018518518518518,0.09375,0.1195652173913043,0.1097560975609756,0.1904761904761904,0.0654761904761904,0.0803571428571428,0.15,0.1547619047619047,0.0735294117647058,0.0797872340425532
Alaskan,0.14,0.1423076923076923,,0.0727969348659003,0.0939922480620155,0.1145833333333333,0.1875,0.1195652173913043,0.1036585365853658,0.1904761904761904,0.0884353741496598,0.0803571428571428,0.1916666666666666,0.0714285714285714,0.1029411764705882,0.1236702127659574
Arab,0.09,0.0884615384615384,,0.0737547892720306,0.0736434108527131,0.1018518518518518,0.0625,0.108695652173913,0.0609756097560975,0.1666666666666666,0.0722789115646258,0.0982142857142857,0.0666666666666666,0.2023809523809523,0.0588235294117647,0.0930851063829787
Asian,0.14,0.1346153846153846,,0.0392720306513409,0.0600775193798449,0.0943287037037037,0.15625,0.1521739130434782,0.0853658536585365,0.0952380952380952,0.0731292517006802,0.0446428571428571,0.1166666666666666,0.1547619047619047,0.1617647058823529,0.0784574468085106
Black,0.22,0.1846153846153846,,0.0737547892720306,0.1162790697674418,0.1203703703703703,0.09375,0.1956521739130435,0.1890243902439024,0.1547619047619047,0.0782312925170068,0.0714285714285714,0.2083333333333333,0.1428571428571428,0.1470588235294117,0.0997340425531914
Caucasian,0.24,0.1923076923076923,,0.1139846743295019,0.1647286821705426,0.1724537037037037,0.328125,0.2065217391304347,0.1890243902439024,0.2023809523809523,0.1309523809523809,0.1339285714285714,0.2166666666666666,0.1428571428571428,0.1470588235294117,0.1715425531914893
European,0.26,0.173076923076923,,0.0727969348659003,0.1211240310077519,0.1111111111111111,0.171875,0.3369565217391304,0.1768292682926829,0.1547619047619047,0.1232993197278911,0.1607142857142857,0.1833333333333333,0.2142857142857142,0.1617647058823529,0.0997340425531914
Hispanic,0.15,0.1423076923076923,,0.0392720306513409,0.0494186046511627,0.0873842592592592,0.09375,0.1630434782608695,0.048780487804878,0.0714285714285714,0.0714285714285714,0.0267857142857142,0.1,0.1309523809523809,0.088235294117647,0.0731382978723404
Jewish,0.14,0.1076923076923077,,0.0565134099616858,0.0765503875968992,0.0868055555555555,0.140625,0.108695652173913,0.0914634146341463,0.0952380952380952,0.0782312925170068,0.0357142857142857,0.15,0.0833333333333333,0.1617647058823529,0.0957446808510638
Latino,0.15,0.123076923076923,,0.0363984674329501,0.0523255813953488,0.0815972222222222,0.09375,0.1521739130434782,0.0853658536585365,0.1071428571428571,0.0688775510204081,0.0357142857142857,0.1166666666666666,0.0833333333333333,0.1617647058823529,0.0851063829787234
Middle Eastern,0.11,0.1115384615384615,,0.0450191570881226,0.064922480620155,0.0908564814814814,0.171875,0.0978260869565217,0.0609756097560975,0.1666666666666666,0.0637755102040816,0.1875,0.0833333333333333,0.0595238095238095,0.0735294117647058,0.0638297872340425
Native American,0.05,0.0923076923076923,,0.0613026819923371,0.0755813953488372,0.0891203703703703,0.078125,0.0869565217391304,0.0426829268292682,0.0833333333333333,0.070578231292517,0.0625,0.125,0.0476190476190476,0.1029411764705882,0.0837765957446808
Roma,0.1,0.0769230769230769,,0.0450191570881226,0.1036821705426356,0.1012731481481481,0.0625,0.1847826086956521,0.0975609756097561,0.1428571428571428,0.0901360544217687,0.0535714285714285,0.1083333333333333,0.0833333333333333,0.2205882352941176,0.0837765957446808
South American,0.03,0.1307692307692307,,0.0708812260536398,0.0910852713178294,0.0972222222222222,0.125,0.108695652173913,0.1524390243902439,0.1666666666666666,0.1037414965986394,0.0892857142857142,0.15,0.1428571428571428,0.2794117647058823,0.0930851063829787
White,0.14,0.123076923076923,,0.043103448275862,0.0930232558139534,0.1163194444444444,0.15625,0.1956521739130435,0.1036585365853658,0.1428571428571428,0.0858843537414966,0.1517857142857142,0.2,0.2023809523809523,0.1617647058823529,0.1236702127659574
