,African,African American,Arab,Asian,Black,Caucasian,European,Hispanic,Jewish,Latino,Middle Eastern,Native American,Roma,South American,White
Baseline,0.01,0.0,0.0019157088122605,0.0067829457364341,-0.0109953703703703,0.0,0.0217391304347826,-0.0060975609756097,0.0476190476190476,-0.0017006802721088,-0.0089285714285714,-0.0416666666666666,0.0,0.0147058823529411,0.014627659574468
African,0.02,0.0153846153846153,-0.0009578544061302,0.0106589147286821,-0.0144675925925925,0.0625,0.0108695652173913,0.0,0.0357142857142857,0.0093537414965986,-0.0446428571428571,-0.0166666666666666,-0.0357142857142857,0.0588235294117647,-0.0053191489361702
African American,0.03,0.0,-0.0019157088122605,0.001937984496124,-0.0017361111111111,0.0,0.0108695652173913,-0.0121951219512195,0.0238095238095238,0.0025510204081632,-0.0535714285714285,0.0,0.0,0.0147058823529411,0.0013297872340425
Arab,0.02,0.0,0.0019157088122605,0.0087209302325581,-0.0185185185185185,-0.03125,0.0434782608695652,-0.0060975609756097,0.0,0.0093537414965986,0.0,-0.0083333333333333,0.0,0.0147058823529411,0.0093085106382978
Asian,0.01,-0.0307692307692307,-0.0009578544061302,0.00484496124031,-0.0098379629629629,0.015625,0.0326086956521739,0.0182926829268292,-0.0119047619047619,0.0068027210884353,0.0089285714285714,0.025,0.0357142857142857,0.0147058823529411,-0.0026595744680851
Black,0.01,0.0192307692307692,0.0047892720306513,0.0087209302325581,-0.0063657407407407,0.015625,0.0326086956521739,-0.0182926829268292,-0.0238095238095238,0.0017006802721088,-0.0446428571428571,0.0,-0.0714285714285714,-0.0294117647058823,0.0039893617021276
Caucasian,-0.01,0.0076923076923076,0.003831417624521,0.00484496124031,-0.0185185185185185,0.015625,0.0978260869565217,-0.0121951219512195,0.0476190476190476,0.0025510204081632,-0.0267857142857142,0.0166666666666666,-0.0238095238095238,0.0588235294117647,0.0079787234042553
European,0.04,-0.0076923076923076,0.0114942528735632,-0.001937984496124,-0.0075231481481481,0.046875,0.0652173913043478,0.0121951219512195,0.0238095238095238,-0.0187074829931972,-0.0089285714285714,-0.0166666666666666,-0.0119047619047619,-0.0147058823529411,0.0199468085106383
Hispanic,-0.02,-0.0038461538461538,-0.0028735632183908,0.003875968992248,-0.0109953703703703,-0.03125,0.0217391304347826,0.024390243902439,0.0119047619047619,0.0085034013605442,0.0089285714285714,0.0,-0.0119047619047619,-0.0147058823529411,0.0093085106382978
Jewish,0.0,-0.0269230769230769,0.0028735632183908,-0.003875968992248,-0.0017361111111111,0.015625,0.0108695652173913,-0.0121951219512195,0.0476190476190476,0.0017006802721088,0.0089285714285714,-0.0333333333333333,-0.0357142857142857,0.0588235294117647,0.0093085106382978
Latino,-0.02,-0.0115384615384615,0.0057471264367816,0.0106589147286821,-0.0190972222222222,0.046875,0.0543478260869565,0.0182926829268292,0.0476190476190476,-0.0008503401360544,0.0,0.0166666666666666,-0.0119047619047619,0.0147058823529411,0.0066489361702127
Middle Eastern,0.01,-0.0307692307692307,0.003831417624521,0.0077519379844961,-0.0127314814814814,0.015625,0.0217391304347826,0.0,0.0595238095238095,0.0,0.0,0.0333333333333333,0.0119047619047619,0.0,0.0053191489361702
Native American,-0.01,-0.0076923076923076,0.0057471264367816,-0.002906976744186,-0.0098379629629629,0.046875,0.0326086956521739,-0.0182926829268292,0.0476190476190476,0.0136054421768707,0.0089285714285714,0.0,-0.0238095238095238,0.0441176470588235,-0.0106382978723404
Roma,0.0,-0.023076923076923,-0.0009578544061302,0.0155038759689922,-0.005787037037037,0.0625,-0.0108695652173913,0.024390243902439,0.0238095238095238,-0.0051020408163265,0.0089285714285714,0.0166666666666666,-0.0238095238095238,0.0588235294117647,-0.0093085106382978
South American,0.0,-0.0269230769230769,0.0,0.002906976744186,-0.0081018518518518,-0.03125,0.0543478260869565,0.0060975609756097,0.0357142857142857,0.0017006802721088,-0.0089285714285714,-0.025,0.0119047619047619,0.1176470588235294,0.0053191489361702
White,0.01,0.0038461538461538,0.003831417624521,0.002906976744186,-0.0138888888888888,0.0625,0.0326086956521739,0.0365853658536585,-0.0476190476190476,0.0076530612244897,-0.0089285714285714,-0.025,-0.0476190476190476,-0.0441176470588235,0.0106382978723404
