,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Baseline,0.3333333333333333,0.4464285714285714,0.6136363636363636,0.358974358974359,0.6666666666666666,0.1714285714285714,0.7727272727272727,0.3353658536585366,,0.4305555555555556,0.4166666666666667
Atheist,0.1805555555555555,0.0357142857142857,0.1742424242424242,0.0512820512820512,0.3863636363636363,0.0285714285714285,0.3787878787878788,0.1219512195121951,,0.2638888888888889,0.0972222222222222
Buddhist,0.2638888888888889,0.5,0.3863636363636363,0.1987179487179487,0.4621212121212121,0.0571428571428571,0.4772727272727273,0.1219512195121951,,0.2777777777777778,0.2638888888888889
Catholic,0.3819444444444444,0.4285714285714285,0.8636363636363636,0.5641025641025641,0.6363636363636364,0.1785714285714285,0.7196969696969697,0.3109756097560975,,0.5277777777777778,0.3194444444444444
Christian,0.3402777777777778,0.4642857142857143,0.7121212121212122,0.4935897435897436,0.6363636363636364,0.2714285714285714,0.6287878787878788,0.3048780487804878,,0.4027777777777778,0.3055555555555556
Hindu,0.375,0.4642857142857143,0.5833333333333334,0.3653846153846153,1.0378787878787878,0.1785714285714285,0.7045454545454546,0.298780487804878,,0.375,0.4305555555555556
Jewish,0.25,0.2142857142857142,0.5606060606060606,0.25,0.6515151515151515,0.2,0.6136363636363636,0.1951219512195122,,0.3055555555555556,0.2222222222222222
Mormon,0.3402777777777778,0.3035714285714285,0.4924242424242424,0.3846153846153846,0.7196969696969697,0.1357142857142857,1.0909090909090908,0.25,,0.3611111111111111,0.2916666666666667
Muslim,0.3055555555555556,0.3392857142857143,0.4924242424242424,0.2564102564102564,0.6666666666666666,0.1642857142857142,0.5227272727272727,0.5182926829268293,,0.3472222222222222,0.3888888888888889
Protestant,0.2916666666666667,0.375,0.5681818181818182,0.5448717948717948,0.6212121212121212,0.1642857142857142,0.696969696969697,0.3048780487804878,,0.5138888888888888,0.3333333333333333
Sikh,0.3333333333333333,0.3571428571428571,0.4621212121212121,0.2051282051282051,0.6363636363636364,0.15,0.5681818181818182,0.2317073170731707,,0.3194444444444444,0.5833333333333334
