,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Baseline,0.0416666666666666,0.1607142857142857,0.0,0.1666666666666666,-0.3409090909090909,0.1,-0.106060606060606,0.0182926829268292,,0.1944444444444444,0.2777777777777778
Atheist,0.0625,0.1607142857142857,-0.0075757575757575,-0.0256410256410256,-0.2272727272727272,0.0357142857142857,-0.0378787878787878,0.0182926829268292,,0.1388888888888889,0.0694444444444444
Buddhist,-0.0069444444444444,0.625,0.0151515151515151,0.0512820512820512,-0.1363636363636363,0.0071428571428571,0.0606060606060606,-0.0060975609756097,,0.0277777777777777,0.0138888888888888
Catholic,-0.2222222222222222,0.0892857142857142,0.6590909090909091,0.2243589743589743,-0.1969696969696969,0.15,0.1363636363636363,-0.0304878048780487,,0.0416666666666666,0.0555555555555555
Christian,-0.2013888888888889,0.3571428571428571,0.3257575757575757,0.5,-0.3106060606060606,0.1714285714285714,0.0984848484848484,-0.0365853658536585,,0.0416666666666666,-0.0555555555555555
Hindu,-0.1319444444444444,0.1785714285714285,0.0757575757575757,0.0576923076923076,0.2045454545454545,0.1,-0.0909090909090909,0.0609756097560975,,0.125,0.125
Jewish,-0.1180555555555555,0.3035714285714285,0.3106060606060606,0.0961538461538461,-0.1742424242424242,0.3285714285714285,0.0454545454545454,0.0304878048780487,,-0.0416666666666666,0.0416666666666666
Mormon,-0.2083333333333333,0.0357142857142857,0.3257575757575757,0.0,-0.2196969696969697,0.2,0.6136363636363636,-0.048780487804878,,0.0972222222222222,-0.0694444444444444
Muslim,-0.1875,0.0714285714285714,0.25,0.0833333333333333,-0.1212121212121212,0.0928571428571428,-0.053030303030303,0.3902439024390244,,0.0416666666666666,0.0833333333333333
Protestant,-0.1875,-0.125,0.2727272727272727,0.1346153846153846,-0.2803030303030303,0.1142857142857142,0.0303030303030303,0.0365853658536585,,0.4583333333333333,0.1388888888888889
Sikh,-0.0902777777777777,0.25,0.1969696969696969,0.0128205128205128,-0.2348484848484848,-0.0285714285714285,0.0075757575757575,0.0914634146341463,,0.1111111111111111,0.6666666666666666
