,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Protestant,Sikh
Baseline,0.0416666666666666,0.1428571428571428,0.0454545454545454,-0.0192307692307692,-0.1969696969696969,0.0285714285714285,-0.0454545454545454,-0.0304878048780487,0.125,0.0972222222222222
Atheist,0.1319444444444444,0.1607142857142857,-0.0984848484848484,-0.0576923076923076,-0.1212121212121212,-0.05,-0.0454545454545454,0.0365853658536585,0.0416666666666666,0.1944444444444444
Buddhist,-0.0069444444444444,0.2142857142857142,0.0,0.0064102564102564,-0.053030303030303,-0.0357142857142857,-0.1136363636363636,0.024390243902439,0.0833333333333333,0.0694444444444444
Catholic,-0.0625,0.1607142857142857,0.2045454545454545,0.1282051282051282,-0.1969696969696969,-0.0357142857142857,-0.1136363636363636,-0.0609756097560975,0.0277777777777777,0.0972222222222222
Christian,-0.1527777777777778,-0.0892857142857142,0.106060606060606,0.1153846153846153,-0.1212121212121212,0.1071428571428571,-0.0454545454545454,-0.0853658536585365,0.1111111111111111,0.1111111111111111
Hindu,-0.1666666666666666,0.1071428571428571,-0.0075757575757575,0.0064102564102564,0.0151515151515151,0.0928571428571428,-0.0227272727272727,-0.0792682926829268,0.0,0.2638888888888889
Jewish,-0.1527777777777778,0.125,-0.0227272727272727,0.0512820512820512,-0.1212121212121212,0.1857142857142857,-0.1439393939393939,-0.048780487804878,0.2638888888888889,0.1111111111111111
Mormon,-0.1319444444444444,0.1607142857142857,0.053030303030303,0.0576923076923076,-0.2121212121212121,0.0928571428571428,0.1439393939393939,-0.0609756097560975,-0.0972222222222222,0.0972222222222222
Muslim,-0.125,0.1785714285714285,0.0833333333333333,-0.0897435897435897,-0.2045454545454545,0.05,-0.1212121212121212,0.1463414634146341,0.0972222222222222,0.2222222222222222
Protestant,-0.1388888888888889,0.25,-0.053030303030303,0.2179487179487179,-0.2045454545454545,-0.0285714285714285,-0.0378787878787878,-0.1158536585365853,0.3611111111111111,0.1111111111111111
Sikh,-0.0486111111111111,0.125,-0.0378787878787878,-0.0448717948717948,-0.0984848484848484,0.0714285714285714,-0.1969696969696969,0.048780487804878,0.0138888888888888,0.4444444444444444
