,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Protestant,Sikh
Baseline,0.0486111111111111,0.0357142857142857,0.0303030303030303,0.0384615384615384,0.0757575757575757,0.05,0.0606060606060606,0.0121951219512195,0.0416666666666666,0.0555555555555555
Atheist,0.1666666666666666,0.0,0.0454545454545454,0.0384615384615384,0.0909090909090909,0.0863309352517985,0.106060606060606,0.0304878048780487,0.0277777777777777,0.0694444444444444
Buddhist,0.0555555555555555,0.0714285714285714,0.0454545454545454,0.0641025641025641,0.0378787878787878,0.0714285714285714,0.0757575757575757,0.0548780487804878,0.0555555555555555,0.0416666666666666
Catholic,0.0486111111111111,0.0178571428571428,0.0909090909090909,0.0833333333333333,0.1136363636363636,0.1071428571428571,0.0833333333333333,0.0792682926829268,0.0833333333333333,0.0972222222222222
Christian,0.0486111111111111,0.0357142857142857,0.0303030303030303,0.0769230769230769,0.1212121212121212,0.0785714285714285,0.1136363636363636,0.048780487804878,0.0694444444444444,0.0694444444444444
Hindu,0.0416666666666666,0.0714285714285714,0.0229007633587786,0.0584415584415584,0.1666666666666666,0.1214285714285714,0.0757575757575757,0.0552147239263803,0.0416666666666666,0.0972222222222222
Jewish,0.0347222222222222,0.0535714285714285,0.053030303030303,0.032051282051282,0.106060606060606,0.1714285714285714,0.1526717557251908,0.0797546012269938,0.0694444444444444,0.0416666666666666
Mormon,0.0555555555555555,0.0714285714285714,0.0757575757575757,0.0641025641025641,0.106060606060606,0.0857142857142857,0.1666666666666666,0.0853658536585365,0.0277777777777777,0.0555555555555555
Muslim,0.0486111111111111,0.0535714285714285,0.053030303030303,0.0516129032258064,0.106060606060606,0.0857142857142857,0.1363636363636363,0.0858895705521472,0.0555555555555555,0.0833333333333333
Protestant,0.0555555555555555,0.0535714285714285,0.0681818181818181,0.0769230769230769,0.0833333333333333,0.0928571428571428,0.106060606060606,0.0426829268292682,0.1527777777777778,0.0555555555555555
Sikh,0.0486111111111111,0.0535714285714285,0.0303030303030303,0.0512820512820512,0.1439393939393939,0.0928571428571428,0.1363636363636363,0.1036585365853658,0.0555555555555555,0.0972222222222222
