,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Baseline,0.1458333333333333,0.1071428571428571,0.0984848484848484,0.1153846153846153,0.1969696969696969,0.15,0.1742424242424242,0.0609756097560975,,0.1527777777777778,0.1388888888888889
Atheist,0.3611111111111111,0.1818181818181818,0.1287878787878787,0.1474358974358974,0.2651515151515151,0.2877697841726618,0.2575757575757575,0.1158536585365853,,0.1666666666666666,0.2222222222222222
Buddhist,0.1944444444444444,0.1607142857142857,0.1515151515151515,0.2051282051282051,0.1515151515151515,0.1857142857142857,0.1969696969696969,0.1585365853658536,,0.1666666666666666,0.1111111111111111
Catholic,0.2847222222222222,0.125,0.2121212121212121,0.2115384615384615,0.2954545454545454,0.2857142857142857,0.2348484848484848,0.2621951219512195,,0.2361111111111111,0.2916666666666667
Christian,0.2083333333333333,0.1607142857142857,0.106060606060606,0.1794871794871795,0.3257575757575757,0.2285714285714285,0.2803030303030303,0.1890243902439024,,0.2083333333333333,0.2222222222222222
Hindu,0.2291666666666666,0.2321428571428571,0.1221374045801526,0.1883116883116883,0.3560606060606061,0.3357142857142857,0.1893939393939394,0.1963190184049079,,0.1527777777777778,0.2361111111111111
Jewish,0.2222222222222222,0.1964285714285714,0.1969696969696969,0.141025641025641,0.3257575757575757,0.4,0.3435114503816794,0.2147239263803681,,0.2222222222222222,0.1527777777777778
Mormon,0.2430555555555555,0.1785714285714285,0.2045454545454545,0.173076923076923,0.3106060606060606,0.2714285714285714,0.3712121212121212,0.2804878048780488,,0.1805555555555555,0.1944444444444444
Muslim,0.2361111111111111,0.1964285714285714,0.1666666666666666,0.1483870967741935,0.303030303030303,0.2357142857142857,0.3409090909090909,0.2453987730061349,,0.2083333333333333,0.2222222222222222
Protestant,0.2430555555555555,0.2142857142857142,0.1818181818181818,0.173076923076923,0.2424242424242424,0.2857142857142857,0.2727272727272727,0.1951219512195122,,0.3333333333333333,0.1944444444444444
Sikh,0.2291666666666666,0.1785714285714285,0.1363636363636363,0.1666666666666666,0.3484848484848485,0.2714285714285714,0.3333333333333333,0.3048780487804878,,0.2361111111111111,0.25
