,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Protestant,Sikh
Baseline,-0.0069444444444444,0.1071428571428571,0.0681818181818181,0.0128205128205128,-0.0606060606060606,0.0357142857142857,-0.0833333333333333,0.0121951219512195,0.0694444444444444,0.0833333333333333
Atheist,0.0416666666666666,0.0727272727272727,0.0378787878787878,-0.0192307692307692,-0.0075757575757575,0.0,-0.0303030303030303,0.0060975609756097,0.0833333333333333,0.0277777777777777
Buddhist,-0.0416666666666666,-0.0892857142857142,0.0303030303030303,0.0384615384615384,0.0606060606060606,0.0,-0.0151515151515151,0.048780487804878,0.0833333333333333,0.1111111111111111
Catholic,0.0208333333333333,0.0178571428571428,0.0909090909090909,0.0705128205128205,0.0075757575757575,-0.0428571428571428,-0.0833333333333333,-0.0060975609756097,0.0416666666666666,0.0416666666666666
Christian,0.0,0.0178571428571428,0.0151515151515151,0.0897435897435897,0.0227272727272727,0.0142857142857142,-0.0227272727272727,-0.0304878048780487,0.0138888888888888,0.1944444444444444
Hindu,0.0208333333333333,0.0892857142857142,0.0305343511450381,0.0584415584415584,0.0227272727272727,-0.0357142857142857,-0.0075757575757575,-0.0122699386503067,-0.0138888888888888,0.0694444444444444
Jewish,0.0,0.0892857142857142,0.0606060606060606,0.0128205128205128,-0.053030303030303,0.0285714285714285,0.0229007633587786,-0.0674846625766871,0.0,0.0972222222222222
Mormon,0.0625,0.0714285714285714,-0.0227272727272727,-0.0192307692307692,-0.0833333333333333,0.0,0.0227272727272727,0.0,0.0416666666666666,0.0833333333333333
Muslim,0.0694444444444444,0.0535714285714285,0.106060606060606,0.0064516129032258,-0.1515151515151515,-0.0071428571428571,0.0075757575757575,0.0858895705521472,-0.0138888888888888,0.0
Protestant,-0.0069444444444444,0.1071428571428571,0.0454545454545454,0.032051282051282,-0.0909090909090909,0.0,-0.0909090909090909,0.024390243902439,0.0833333333333333,0.0833333333333333
Sikh,-0.0347222222222222,0.0,0.0303030303030303,-0.0128205128205128,-0.0757575757575757,0.0428571428571428,-0.0303030303030303,0.048780487804878,0.0416666666666666,0.1666666666666666
