,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Protestant,Sikh
Baseline,0.3402777777777778,0.2142857142857142,0.5454545454545454,0.3846153846153846,0.6363636363636364,0.1714285714285714,0.803030303030303,0.2682926829268293,0.375,0.3611111111111111
Atheist,0.25,0.125,0.3106060606060606,0.2435897435897435,0.3863636363636363,0.0857142857142857,0.4318181818181818,0.1829268292682926,0.3055555555555556,0.2083333333333333
Buddhist,0.2013888888888889,0.6607142857142857,0.3712121212121212,0.1666666666666666,0.4545454545454545,0.1142857142857142,0.4924242424242424,0.2256097560975609,0.3055555555555556,0.3888888888888889
Catholic,0.6041666666666666,0.6428571428571429,1.2196969696969695,0.8333333333333334,0.8181818181818182,0.3928571428571428,0.8560606060606061,0.5426829268292683,0.6805555555555556,0.5
Christian,0.4930555555555556,0.5892857142857143,0.9242424242424242,0.8910256410256411,0.696969696969697,0.3071428571428571,0.9393939393939394,0.4268292682926829,0.4861111111111111,0.6666666666666666
Hindu,0.6875,0.875,0.9318181818181818,0.6602564102564102,1.2045454545454546,0.4857142857142857,0.9772727272727272,0.573170731707317,0.5972222222222222,0.625
Jewish,0.375,0.5178571428571429,0.7196969696969697,0.4038461538461538,0.6287878787878788,0.4214285714285714,0.8106060606060606,0.3719512195121951,0.4722222222222222,0.5
Mormon,0.4583333333333333,0.4285714285714285,0.6363636363636364,0.5705128205128205,0.7045454545454546,0.3285714285714285,1.068181818181818,0.3963414634146341,0.5,0.4305555555555556
Muslim,0.3819444444444444,0.3571428571428571,0.6287878787878788,0.5256410256410257,0.8181818181818182,0.3357142857142857,0.8257575757575758,0.5792682926829268,0.4166666666666667,0.6388888888888888
Protestant,0.5972222222222222,0.4821428571428571,0.7727272727272727,1.0384615384615383,0.7651515151515151,0.3285714285714285,0.9848484848484848,0.4390243902439024,1.0416666666666667,0.625
Sikh,0.4722222222222222,0.6071428571428571,0.6060606060606061,0.4423076923076923,0.7196969696969697,0.2785714285714286,0.803030303030303,0.3780487804878049,0.5,0.7361111111111112
